# Size, Precision, Recall, Fscore
10.000000,0.000000,0.000000,0.000000
50.000000,1.000000,0.166667,0.285714
91.000000,0.980000,0.163333,0.280000
131.000000,0.980000,0.163333,0.280000
172.000000,0.840000,0.140000,0.240000
213.000000,0.740000,0.140000,0.232857
253.000000,0.660000,0.113333,0.192857
294.000000,0.370000,0.076667,0.125000
334.000000,0.383333,0.083333,0.133889
375.000000,0.453333,0.090000,0.147460
416.000000,0.400000,0.076667,0.127143
456.000000,0.460000,0.076667,0.131429
497.000000,0.520000,0.090000,0.152857
537.000000,0.720000,0.120000,0.205714
578.000000,0.640000,0.106667,0.182857
619.000000,0.720000,0.120000,0.205714
659.000000,0.860000,0.143333,0.245714
700.000000,0.820000,0.136667,0.234286
741.000000,0.820000,0.136667,0.234286
781.000000,0.940000,0.156667,0.268571
822.000000,0.920000,0.153333,0.262857
862.000000,0.960000,0.160000,0.274286
903.000000,0.940000,0.156667,0.268571
944.000000,0.980000,0.163333,0.280000
984.000000,0.970000,0.163333,0.279286
1025.000000,1.000000,0.166667,0.285714
1065.000000,1.000000,0.166667,0.285714
1106.000000,1.000000,0.166667,0.285714
1147.000000,0.990000,0.166667,0.285000
1187.000000,0.990000,0.166667,0.285000
1228.000000,0.990000,0.166667,0.285000
1268.000000,1.000000,0.166667,0.285714
1309.000000,1.000000,0.166667,0.285714
1350.000000,1.000000,0.166667,0.285714
1390.000000,0.980000,0.163333,0.280000
1431.000000,1.000000,0.166667,0.285714
1472.000000,0.990000,0.166667,0.285000
1512.000000,0.990000,0.166667,0.285000
1553.000000,1.000000,0.166667,0.285714
1593.000000,0.990000,0.166667,0.285000
1634.000000,0.990000,0.166667,0.285000
1675.000000,0.990000,0.166667,0.285000
1715.000000,1.000000,0.166667,0.285714
1756.000000,1.000000,0.166667,0.285714
1796.000000,0.990000,0.166667,0.285000
1837.000000,0.990000,0.166667,0.285000
1878.000000,0.990000,0.166667,0.285000
1918.000000,0.990000,0.166667,0.285000
1959.000000,0.980000,0.166667,0.284286
2000.000000,1.000000,0.166667,0.285714
