# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64.000000,1.000000,0.166667,0.285714,0.000000,0.000000,0.000000
118.000000,1.000000,0.166667,0.285714,0.000000,0.000000,0.000000
173.000000,0.980000,0.173333,0.292857,0.097980,0.032660,0.042857
227.000000,0.980000,0.180000,0.301429,0.097980,0.045216,0.058971
282.000000,0.900000,0.213333,0.338571,0.200000,0.074833,0.101579
336.000000,0.860000,0.276667,0.415238,0.241201,0.078951,0.116798
391.000000,0.940000,0.296667,0.447619,0.181842,0.069041,0.099479
445.000000,0.846667,0.276667,0.413016,0.264239,0.078951,0.120137
500.000000,0.823333,0.283333,0.419603,0.285599,0.076376,0.123207
