# Size, Precision, Recall, Fscore
10.000000,0.000000,0.000000,0.000000
114.000000,1.000000,0.166667,0.285714
219.000000,0.940000,0.190000,0.311429
324.000000,0.870000,0.256667,0.391190
428.000000,0.886667,0.290000,0.434921
533.000000,0.813333,0.290000,0.425556
638.000000,0.640000,0.243333,0.350000
743.000000,0.586667,0.230000,0.327778
847.000000,0.400000,0.183333,0.250000
952.000000,0.373333,0.176667,0.238889
1057.000000,0.345000,0.170000,0.227333
1162.000000,0.331667,0.166667,0.221778
1266.000000,0.358333,0.173333,0.232889
1371.000000,0.345000,0.170000,0.227333
1476.000000,0.331667,0.166667,0.221778
1581.000000,0.338333,0.173333,0.228889
1685.000000,0.326667,0.166667,0.220444
1790.000000,0.338333,0.176667,0.231556
1895.000000,0.331667,0.173333,0.227111
2000.000000,0.318333,0.166667,0.218222
