"A","B","C","D","E"
1.1150052988973400e-01,2.1725569306898346e-01,0.0000000000000000e+00,2.6996436122782808e-01,1.7771933654885164e-02
1.2313975478096223e-01,1.5652185771451288e-01,0.0000000000000000e+00,3.0974015880124844e-01,1.3904477464610210e-01
2.9796661026499416e-01,2.9755626430329446e-01,0.0000000000000000e+00,1.1192879385200588e-01,7.8158669455537244e-01
8.8145670072934237e-02,1.1480791810961963e-01,0.0000000000000000e+00,2.8582999301871664e-02,5.4957288434322882e-01
2.6702880458006178e-01,2.8452927992540605e-01,0.0000000000000000e+00,3.2099578650273153e-01,1.8657560861907285e-01
2.9921881568093572e-01,3.9968643082467703e-01,0.0000000000000000e+00,1.1258349497174855e-01,2.9456567427007174e-01
2.7020517793332965e-01,3.8250293413722614e-01,0.0000000000000000e+00,1.3239397903129205e-01,4.0959899924888199e-01
6.4196776575298792e-02,4.2690620438819138e-01,0.0000000000000000e+00,6.8063235285700310e-02,3.4956543200533252e-01
1.6707334719564801e-01,5.5114104391348923e-02,0.0000000000000000e+00,1.8320506765545422e-01,1.0081611471257856e-02
4.1509320266298216e-01,1.2613563490920035e-01,0.0000000000000000e+00,4.2450912209369768e-01,4.7937967269012116e-01
3.6835796939054355e-01,2.3933204061523941e-01,0.0000000000000000e+00,2.5934426015117135e-01,6.1164130776624615e-01
2.0882497235706537e-01,4.8027531214311997e-01,0.0000000000000000e+00,2.4860154700727194e-01,7.8951844428764684e-02
1.9109392920669505e-01,4.6006761958733433e-01,0.0000000000000000e+00,1.8708475076850720e-01,7.8833015515391125e-02
3.7827079045598122e-01,1.1220824750444697e-01,0.0000000000000000e+00,4.6458494927276228e-01,3.5844796956759462e-01
1.2807634635361961e-01,3.6150888201075468e-03,0.0000000000000000e+00,3.3736783292330941e-01,4.8510182783176847e-01
1.8939432163281797e-01,7.2030998886130182e-02,0.0000000000000000e+00,2.0438750003752060e-01,9.4683043875932293e-01
1.5634429875524300e-01,6.1693538803364360e-02,0.0000000000000000e+00,5.3052294354444168e-02,1.2883010909009607e-01
2.2585436389194394e-01,7.8669616962921907e-02,0.0000000000000000e+00,1.3173918258998862e-01,8.3610821874360219e-01
9.7030237440750858e-02,5.2011360430425070e-02,0.0000000000000000e+00,4.2485104049186651e-01,5.7611176845232515e-01
4.5436734269848417e-01,2.1297345266347689e-01,0.0000000000000000e+00,1.3780081159189050e-02,5.2412340007571778e-01
3.3121299033518142e-01,4.7248426892642192e-01,0.0000000000000000e+00,4.1427062784607283e-01,1.9105137949540030e-01
7.9890329368332236e-02,1.5958503008814812e-01,0.0000000000000000e+00,2.4313886054572714e-01,4.0092168699301123e-01
2.9959080908670416e-01,2.8201510301959609e-01,0.0000000000000000e+00,1.8461811300121089e-01,1.0026040680182047e-01
2.4980751810375984e-01,1.3106458706660545e-01,0.0000000000000000e+00,3.4660226177459030e-01,6.6416919454543599e-01
4.0671597937635801e-01,2.9247726643797645e-01,0.0000000000000000e+00,3.3310571664757632e-01,7.0001392621976111e-01
3.4025114093274306e-01,3.1512527492439368e-01,0.0000000000000000e+00,4.1140071040407161e-01,8.6937726079244038e-01
4.1324804284604399e-01,2.5218368312747107e-02,0.0000000000000000e+00,2.4445826814617846e-01,4.8530642281512248e-01
3.2685328328002128e-01,4.2926283862481401e-01,0.0000000000000000e+00,2.7848966351874105e-01,8.3242726944945922e-01
1.4117180462852949e-01,1.5778814887427224e-02,0.0000000000000000e+00,2.7010857660619489e-03,3.6419979588814955e-01
1.7613624730880970e-01,3.7733101646590850e-01,0.0000000000000000e+00,3.3311833321940898e-01,9.9477420641008596e-01
5.4682291320932337e-02,3.1788501678118242e-01,0.0000000000000000e+00,2.3075362999258486e-01,8.4293653038083582e-01
2.3884464818728901e-01,3.9336353964092829e-01,0.0000000000000000e+00,4.5379904763079826e-01,6.7626015972045983e-01
2.1962026085438062e-02,3.9068033600797730e-01,0.0000000000000000e+00,1.9047738045839860e-01,9.1700691100108811e-01
4.4409071716455811e-01,4.4658941131447438e-01,0.0000000000000000e+00,1.7156396549798231e-01,1.2412709807129962e-01
3.9312571781936090e-01,4.3005758550169781e-01,0.0000000000000000e+00,1.8393094683094600e-02,4.9859085327791619e-01
2.6381477466456366e-01,7.8033625748695393e-02,0.0000000000000000e+00,2.7830875634035696e-01,7.1862549319111313e-01
1.6425735090759222e-01,3.5564019075063463e-01,0.0000000000000000e+00,2.6762599075555515e-01,2.7558766391408773e-01
4.4849127504818281e-01,4.8142449576438950e-01,0.0000000000000000e+00,4.0223302967283409e-01,1.1219046462861093e-01
3.3313791777722745e-01,2.2192215204965068e-01,0.0000000000000000e+00,3.5773469712262873e-01,5.8591012846689572e-01
1.2122278328412139e-01,4.5539828425975654e-01,0.0000000000000000e+00,1.9632601122963761e-01,1.7731213301919357e-01
4.5519538253206715e-01,2.9329798128175233e-01,0.0000000000000000e+00,1.5487252460027065e-01,4.7492278878557004e-02
1.5080662199562442e-03,9.5673124940735058e-02,0.0000000000000000e+00,1.2433421326485769e-01,8.6640188846992383e-01
5.6880783130744808e-02,9.8272145786028303e-02,0.0000000000000000e+00,1.5699869059133265e-01,6.2589939978277442e-02
4.3371559423793504e-01,6.5793604169928202e-02,0.0000000000000000e+00,1.0489427367973862e-01,1.1971750276184467e-01
1.7028657068463748e-01,9.6967344503387856e-02,0.0000000000000000e+00,4.2076683828475037e-01,8.3979372202936720e-02
1.1416278971423645e-01,8.0634614914402811e-02,0.0000000000000000e+00,3.9090619125616316e-01,2.8687669049054088e-01
7.7613597571730003e-02,2.8292924480436932e-01,0.0000000000000000e+00,7.1913095746386713e-02,6.8808039421648837e-01
2.6401797324845128e-01,3.1781465840705381e-01,0.0000000000000000e+00,4.2502953966704748e-01,5.0090229864126168e-01
4.9057696775616347e-02,1.7540365082674064e-01,0.0000000000000000e+00,2.7557052555253986e-01,6.0985419344575709e-01
4.8301014498332839e-01,4.0726617584763591e-01,0.0000000000000000e+00,3.9363850733542338e-01,9.4856554314585129e-01
2.5347060750600964e-01,2.3520653951243817e-01,0.0000000000000000e+00,3.3805137260685397e-01,7.2055252203935471e-01
2.8752309696430672e-01,4.1092145177814476e-01,0.0000000000000000e+00,4.6168957411588774e-01,7.7001779117506319e-01
2.3925666492854764e-01,3.6370552401862583e-01,0.0000000000000000e+00,2.6379871319377429e-01,1.4575032472433347e-01
3.0196358552859026e-01,2.1086954501100685e-01,0.0000000000000000e+00,3.7824862676274684e-01,8.0224435060248478e-01
4.4049548472530564e-01,1.0415026686866936e-01,0.0000000000000000e+00,4.2579850049419998e-01,9.3481044107902056e-01
8.1095054903993852e-02,3.8203372260050300e-01,0.0000000000000000e+00,9.0186683659077185e-02,4.2046612767151115e-01
1.1979837547023821e-01,3.9706057097862674e-01,0.0000000000000000e+00,2.9352411801940032e-01,3.0787003946268965e-01
2.3986441055011309e-02,1.7008124391111418e-01,0.0000000000000000e+00,4.4572031655689809e-01,8.9387754831440103e-01
9.9532945751674456e-02,3.3299166825010923e-01,0.0000000000000000e+00,2.5294325238003842e-02,2.1223571320615298e-01
1.7845559205774700e-01,3.9455708301195998e-02,0.0000000000000000e+00,1.3601354870661150e-01,2.9416844324483993e-01
4.2171589739664278e-01,3.8456763001735966e-01,0.0000000000000000e+00,3.3120718168612706e-01,2.7830898027255979e-01
8.5223586645234259e-02,4.6953114240358951e-01,0.0000000000000000e+00,2.0581631829727168e-01,5.5092491898702134e-02
3.8953409663512695e-01,2.0200551697201269e-01,0.0000000000000000e+00,1.4006745101985449e-01,8.6120579889249416e-01
8.2674277569129748e-02,1.6624746525886999e-01,0.0000000000000000e+00,1.5698086784336379e-01,1.6696402540477018e-01
2.5317789338228641e-01,2.8619755963055205e-01,0.0000000000000000e+00,1.2035826700140184e-01,6.8825612281563964e-01
4.7707297979836960e-01,3.6245801585223791e-01,0.0000000000000000e+00,1.9509545030391454e-01,4.4469768048679970e-01
4.0719061510538102e-01,1.8540422919300512e-01,0.0000000000000000e+00,9.3952638129275887e-02,3.7740204474974259e-01
4.5180940967747024e-01,3.1399311464826879e-01,0.0000000000000000e+00,2.1902065110591046e-01,9.1275502548407705e-01
8.1033197025671258e-02,1.9810536700377329e-01,0.0000000000000000e+00,4.3598046615805930e-01,9.7170529780729265e-02
3.6775930362672404e-01,1.8423012388397569e-01,0.0000000000000000e+00,4.5989571136376839e-01,1.7225499219611118e-01
2.5528504126355994e-01,7.7396204622947884e-02,0.0000000000000000e+00,3.0834925425692394e-01,8.2701020018718596e-02
4.7909461701693107e-01,5.5642143803693103e-02,0.0000000000000000e+00,3.4744987939373445e-01,8.8143937261852945e-01
5.5306134839531257e-02,1.3122647399087456e-01,0.0000000000000000e+00,1.2946038554365558e-01,3.2050591837596420e-01
1.1236827741690565e-01,5.5105272664575808e-02,0.0000000000000000e+00,1.1792039232857293e-01,2.0149389255788908e-02
3.0079473033638693e-01,2.1522593111939387e-01,0.0000000000000000e+00,1.8665641129321023e-01,9.8933899514477086e-01
6.3225036262281945e-02,4.2494135553553358e-01,0.0000000000000000e+00,3.9524810714623504e-01,3.0363533895331418e-02
6.9985960644141185e-02,2.9578909269580250e-01,0.0000000000000000e+00,1.2803654371860768e-01,2.7309212807245586e-01
1.8747281225090162e-01,1.4252669499527557e-01,0.0000000000000000e+00,2.5230014676219281e-01,3.3556391199563329e-02
2.0397140804542296e-01,4.0149068792022968e-01,0.0000000000000000e+00,3.6907865635713416e-01,2.7973996149661007e-02
8.0429910585124179e-02,3.1774200505533445e-01,0.0000000000000000e+00,7.9254961363705578e-02,7.5602260386622189e-01
1.1804397994425039e-01,2.5275049876487621e-01,0.0000000000000000e+00,2.4497447786943866e-01,7.3101956647093358e-01
2.6008487688945836e-01,4.2711625093939709e-01,0.0000000000000000e+00,7.7123055769668075e-02,9.2369179501983201e-03
3.2210614331771692e-01,6.4456994298852169e-02,0.0000000000000000e+00,4.8046790985813365e-01,7.2007192108352869e-01
6.0726396994502808e-02,8.5238500257921648e-03,0.0000000000000000e+00,4.1118076885288668e-01,1.2418091273508436e-01
2.8525178025317582e-01,2.3162710128371730e-01,0.0000000000000000e+00,3.9808889449852519e-01,7.8042205293598177e-01
1.7408033741371773e-01,9.1815525356091304e-02,0.0000000000000000e+00,3.6469530901240010e-01,7.8316169539819525e-01
4.9454204621335533e-02,4.7803897152089808e-01,0.0000000000000000e+00,4.7391272513561961e-01,4.1902935119273765e-01
1.7598979493260579e-02,1.2588629157580994e-01,0.0000000000000000e+00,2.9330153764259281e-01,6.4285906062461140e-01
3.2952396379545157e-01,2.6509476957000117e-01,0.0000000000000000e+00,2.6537645868650145e-01,8.3992349702001379e-01
2.9052375941196829e-01,3.6491508068792083e-01,0.0000000000000000e+00,3.4587899418359913e-01,9.5170456553171157e-01
3.5543888780504596e-01,1.0114062689963557e-01,0.0000000000000000e+00,2.8229048418789854e-01,1.0277192606636931e-01
9.1828688541938999e-02,2.1326780625153785e-01,0.0000000000000000e+00,3.7843408268518214e-01,1.5700430993414116e-01
2.9476984324380112e-01,4.6720285254009863e-01,0.0000000000000000e+00,2.7368307224895766e-01,8.9336292800598005e-01
1.7685827930541098e-01,4.3671688095206468e-01,0.0000000000000000e+00,2.1715641798412660e-01,9.3134696130091310e-01
9.6005620343076276e-02,3.6521104112879932e-01,0.0000000000000000e+00,7.4043171961156937e-03,5.3776724158192435e-01
1.9069325909999923e-01,1.4114036299153668e-01,0.0000000000000000e+00,2.2152906966020627e-01,5.0581297431344208e-01
2.7130151092691540e-01,3.2170319522829577e-01,0.0000000000000000e+00,2.7820172811758659e-01,3.5725455294409358e-01
3.8056843688148462e-01,3.2519243108134666e-01,0.0000000000000000e+00,1.8094045661560587e-01,2.8489075856417512e-01
1.8764213389149004e-01,2.2312829834181044e-01,0.0000000000000000e+00,3.6991952947822843e-01,5.4346170825458895e-03
1.5165295517263727e-01,3.5493026908943165e-01,0.0000000000000000e+00,1.7719443010798824e-01,3.6946020110865785e-01
3.3245924882011957e-01,4.5812070022070733e-01,0.0000000000000000e+00,1.2074175710710425e-01,5.7594569349263014e-01
3.3016040858692564e-01,2.3304033222559534e-01,0.0000000000000000e+00,3.4199121429479090e-02,4.4324055535535600e-01
5.0735986122037204e-02,3.4968055441039519e-01,0.0000000000000000e+00,3.0504193621494424e-01,1.9624142131909306e-01
1.0039731002356814e-01,2.9999757115493503e-01,0.0000000000000000e+00,2.7037576668027158e-01,4.6127261772069561e-01
1.7050110643318855e-01,1.0666210015091754e-01,0.0000000000000000e+00,4.0948927940893270e-01,2.4079700675235771e-01
3.4444267498872527e-01,1.7337657774388382e-01,0.0000000000000000e+00,3.3783254841296284e-01,2.3436405286689066e-01
5.3330823547283197e-02,3.5392055038157566e-01,0.0000000000000000e+00,2.8500506964297440e-01,9.6232983767276181e-01
1.1668856313403553e-01,1.9762315765912808e-01,0.0000000000000000e+00,4.1938506828026600e-01,2.8929901264865543e-01
3.7487335404014521e-01,1.5528417085856500e-01,0.0000000000000000e+00,6.5130089304619471e-02,6.0255944728589039e-01
