# Size, Precision, Recall, Fscore
750.000000,0.634374,0.613636,0.617018
765.000000,0.580125,0.495455,0.522825
780.000000,0.689088,0.663636,0.671357
795.000000,0.658013,0.622727,0.632510
811.000000,0.709039,0.686364,0.691031
826.000000,0.715076,0.663636,0.682163
841.000000,0.649236,0.600000,0.618594
857.000000,0.600347,0.581818,0.585306
872.000000,0.678452,0.654545,0.659394
887.000000,0.645454,0.613636,0.624400
903.000000,0.691330,0.636364,0.654023
918.000000,0.678715,0.650000,0.657801
933.000000,0.689626,0.650000,0.662825
948.000000,0.643541,0.572727,0.596132
964.000000,0.723462,0.713636,0.710594
979.000000,0.624674,0.586364,0.597122
994.000000,0.660430,0.563636,0.603654
1010.000000,0.591163,0.495455,0.532849
1025.000000,0.616881,0.545455,0.569275
1040.000000,0.670369,0.604545,0.630546
1056.000000,0.592390,0.540909,0.561913
1071.000000,0.637359,0.627273,0.624590
1086.000000,0.640519,0.586364,0.607924
1102.000000,0.691432,0.618182,0.647804
1117.000000,0.651042,0.595455,0.614138
1132.000000,0.644472,0.563636,0.593015
1147.000000,0.668368,0.622727,0.637468
1163.000000,0.688981,0.645455,0.659986
1178.000000,0.554400,0.550000,0.545681
1193.000000,0.717626,0.663636,0.682616
1209.000000,0.580670,0.568182,0.564296
1224.000000,0.710901,0.695455,0.698688
1239.000000,0.598445,0.581818,0.581103
1255.000000,0.674037,0.550000,0.596934
1270.000000,0.665110,0.595455,0.623088
1285.000000,0.694963,0.613636,0.644590
1301.000000,0.663075,0.613636,0.632429
1316.000000,0.695375,0.631818,0.657790
1331.000000,0.680869,0.622727,0.646757
1346.000000,0.701323,0.681818,0.686789
1362.000000,0.716775,0.668182,0.680848
1377.000000,0.634619,0.595455,0.606269
1392.000000,0.660742,0.595455,0.620491
1408.000000,0.595575,0.577273,0.579477
1423.000000,0.651066,0.600000,0.615980
1438.000000,0.621890,0.590909,0.600304
1454.000000,0.619281,0.554545,0.576305
1469.000000,0.709005,0.668182,0.682431
1484.000000,0.634968,0.572727,0.596552
1500.000000,0.655050,0.604545,0.623577
