# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
114.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
219.000000,0.060000,0.015000,0.024000,0.237487,0.059372,0.094995
324.000000,0.293333,0.085000,0.128762,0.450383,0.137931,0.201097
428.000000,0.563333,0.215000,0.303429,0.475967,0.200062,0.269435
533.000000,0.826667,0.355000,0.480762,0.296198,0.158824,0.188449
638.000000,0.728333,0.475000,0.566238,0.151667,0.090139,0.089186
743.000000,0.681667,0.495000,0.568333,0.150638,0.127377,0.123093
847.000000,0.698333,0.540000,0.604524,0.086426,0.104403,0.079514
952.000000,0.693333,0.580000,0.628571,0.038873,0.116619,0.083299
1057.000000,0.693333,0.580000,0.628571,0.038873,0.116619,0.083299
1162.000000,0.705000,0.615000,0.653571,0.041533,0.124599,0.089000
1266.000000,0.718333,0.655000,0.682143,0.040449,0.121347,0.086676
1371.000000,0.721667,0.665000,0.689286,0.039476,0.118427,0.084591
1476.000000,0.730000,0.690000,0.707143,0.035590,0.106771,0.076265
1581.000000,0.741667,0.725000,0.732143,0.025000,0.075000,0.053571
1685.000000,0.736667,0.710000,0.721429,0.030551,0.091652,0.065465
1790.000000,0.738333,0.715000,0.725000,0.028916,0.086747,0.061962
1895.000000,0.746667,0.740000,0.742857,0.016330,0.048990,0.034993
2000.000000,0.746667,0.740000,0.742857,0.016330,0.048990,0.034993
