# Size, Precision, Recall, Fscore
10.000000,0.000000,0.000000,0.000000
272.000000,0.140000,0.035000,0.056000
535.000000,0.773333,0.360000,0.480000
797.000000,0.710000,0.515000,0.593810
1060.000000,0.693333,0.580000,0.628571
1323.000000,0.710000,0.630000,0.664286
1585.000000,0.740000,0.720000,0.728571
1848.000000,0.748333,0.745000,0.746429
2111.000000,0.750000,0.750000,0.750000
2373.000000,0.748333,0.745000,0.746429
2636.000000,0.750000,0.750000,0.750000
2898.000000,0.750000,0.750000,0.750000
3161.000000,0.750000,0.750000,0.750000
3424.000000,0.750000,0.750000,0.750000
3686.000000,0.750000,0.750000,0.750000
3949.000000,0.750000,0.750000,0.750000
4212.000000,0.750000,0.750000,0.750000
4474.000000,0.750000,0.750000,0.750000
4737.000000,0.750000,0.750000,0.750000
5000.000000,0.750000,0.750000,0.750000
