# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1044.000000,0.470000,0.391667,0.427273,0.114455,0.095379,0.104050
2078.000000,0.800000,0.666667,0.727273,0.000000,0.000000,0.000000
3112.000000,0.800000,0.666667,0.727273,0.000000,0.000000,0.000000
4146.000000,0.800000,0.666667,0.727273,0.000000,0.000000,0.000000
5180.000000,0.800000,0.666667,0.727273,0.000000,0.000000,0.000000
6214.000000,0.800000,0.666667,0.727273,0.000000,0.000000,0.000000
7248.000000,0.733333,0.650000,0.687879,0.076012,0.050000,0.055132
8283.000000,0.818333,0.791667,0.803788,0.037231,0.072169,0.052590
9317.000000,0.654762,0.708333,0.679487,0.105005,0.116369,0.107034
10351.000000,0.751190,0.766667,0.758333,0.095676,0.081650,0.087544
11385.000000,0.629762,0.683333,0.654487,0.119635,0.116667,0.115632
12419.000000,0.504762,0.583333,0.541026,0.078824,0.083333,0.080228
13453.000000,0.515476,0.600000,0.553663,0.068708,0.081650,0.071019
14487.000000,0.465476,0.533333,0.496795,0.069201,0.066667,0.066971
15522.000000,0.432143,0.508333,0.467033,0.015567,0.036324,0.023950
16556.000000,0.450000,0.525000,0.484615,0.051010,0.059512,0.054934
17590.000000,0.435714,0.508333,0.469231,0.031135,0.036324,0.033530
18624.000000,0.435714,0.508333,0.469231,0.031135,0.036324,0.033530
19658.000000,0.428571,0.500000,0.461538,0.000000,0.000000,0.000000
20692.000000,0.428571,0.500000,0.461538,0.000000,0.000000,0.000000
21726.000000,0.428571,0.500000,0.461538,0.000000,0.000000,0.000000
22761.000000,0.428571,0.500000,0.461538,0.000000,0.000000,0.000000
23795.000000,0.428571,0.500000,0.461538,0.000000,0.000000,0.000000
24829.000000,0.428571,0.500000,0.461538,0.000000,0.000000,0.000000
25863.000000,0.428571,0.500000,0.461538,0.000000,0.000000,0.000000
26897.000000,0.428571,0.500000,0.461538,0.000000,0.000000,0.000000
27931.000000,0.428571,0.500000,0.461538,0.000000,0.000000,0.000000
28965.000000,0.428571,0.500000,0.461538,0.000000,0.000000,0.000000
30000.000000,0.428571,0.500000,0.461538,0.000000,0.000000,0.000000
