# Size, Precision, Recall, Fscore
100.000000,0.703333,0.762500,0.728333
1131.000000,0.870000,0.925000,0.893333
2162.000000,0.851429,0.887500,0.866162
3193.000000,0.971429,0.987500,0.977273
4224.000000,0.845000,0.887500,0.863333
5255.000000,0.939286,0.962500,0.948182
6286.000000,0.818571,0.850000,0.830808
7317.000000,0.854286,0.875000,0.862626
8348.000000,0.859762,0.950000,0.896162
9379.000000,0.811429,0.862500,0.831717
10410.000000,0.905000,0.937500,0.918889
11441.000000,0.990000,1.000000,0.994444
12472.000000,0.870000,0.900000,0.883333
13503.000000,0.910000,0.975000,0.937778
14534.000000,0.769762,0.825000,0.791717
15565.000000,0.742500,0.775000,0.755556
16596.000000,0.865000,0.887500,0.874444
17627.000000,0.910000,0.950000,0.927778
18658.000000,0.895000,0.937500,0.913333
19689.000000,0.828571,0.850000,0.836364
20720.000000,0.911429,0.937500,0.921717
21751.000000,0.812857,0.875000,0.837879
22782.000000,0.844762,0.912500,0.871717
23813.000000,0.926667,1.000000,0.957778
24844.000000,0.951429,0.987500,0.966162
25875.000000,0.822976,0.887500,0.849091
26906.000000,0.835000,0.887500,0.857778
27937.000000,0.850476,0.912500,0.876869
28968.000000,0.834762,0.887500,0.856162
30000.000000,0.660714,0.737500,0.689091
