# Size, Precision, Recall, Fscore
10.000000,0.000000,0.000000,0.000000
535.000000,0.000000,0.000000,0.000000
1061.000000,0.037500,0.025000,0.030000
1587.000000,0.022500,0.016667,0.019091
2113.000000,0.000000,0.000000,0.000000
2638.000000,0.000000,0.000000,0.000000
3164.000000,0.000000,0.000000,0.000000
3690.000000,0.025000,0.016667,0.020000
4216.000000,0.020000,0.016667,0.018182
4742.000000,0.035000,0.025000,0.029091
5267.000000,0.107500,0.083333,0.093636
5793.000000,0.097500,0.075000,0.084545
6319.000000,0.100000,0.083333,0.090909
6845.000000,0.182500,0.150000,0.164545
7371.000000,0.320000,0.266667,0.290909
7896.000000,0.360000,0.300000,0.327273
8422.000000,0.350000,0.291667,0.318182
8948.000000,0.370000,0.308333,0.336364
9474.000000,0.406667,0.341667,0.371212
10000.000000,0.420000,0.350000,0.381818
