# Size, Precision, Recall, Fscore
10.000000,0.525000,0.183333,0.258810
179.000000,0.333333,0.183333,0.235556
348.000000,0.400000,0.250000,0.306667
517.000000,0.420000,0.283333,0.335758
687.000000,0.403333,0.266667,0.317980
856.000000,0.410000,0.266667,0.321212
1025.000000,0.470000,0.316667,0.375758
1195.000000,0.403333,0.283333,0.326869
1364.000000,0.536667,0.416667,0.464646
1533.000000,0.420000,0.333333,0.366869
1703.000000,0.475000,0.383333,0.421616
1872.000000,0.453333,0.350000,0.389091
2041.000000,0.476667,0.366667,0.405657
2211.000000,0.418333,0.366667,0.386768
2380.000000,0.500000,0.366667,0.419394
2549.000000,0.513333,0.383333,0.434747
2719.000000,0.466667,0.383333,0.413333
2888.000000,0.420476,0.316667,0.354064
3057.000000,0.473333,0.350000,0.395960
3227.000000,0.566667,0.483333,0.517172
3396.000000,0.496667,0.366667,0.416970
3565.000000,0.530000,0.466667,0.492525
3735.000000,0.526667,0.416667,0.460606
3904.000000,0.606667,0.550000,0.573737
4073.000000,0.530000,0.416667,0.461414
4243.000000,0.530000,0.433333,0.470303
4412.000000,0.570000,0.500000,0.526869
4581.000000,0.580000,0.516667,0.541414
4751.000000,0.496667,0.416667,0.448081
4920.000000,0.546667,0.450000,0.488081
5089.000000,0.343333,0.266667,0.294545
5258.000000,0.603333,0.533333,0.562424
5428.000000,0.546667,0.450000,0.488081
5597.000000,0.526667,0.450000,0.482828
5766.000000,0.506667,0.383333,0.431515
5936.000000,0.546667,0.450000,0.488081
6105.000000,0.580000,0.500000,0.532525
6274.000000,0.566667,0.516667,0.533333
6444.000000,0.576667,0.500000,0.530101
6613.000000,0.563333,0.483333,0.514747
6782.000000,0.563333,0.483333,0.514747
6952.000000,0.506667,0.383333,0.431515
7121.000000,0.443333,0.383333,0.405657
7290.000000,0.543333,0.466667,0.494545
7460.000000,0.606667,0.533333,0.564848
7629.000000,0.496667,0.416667,0.449192
7798.000000,0.596667,0.533333,0.559192
7968.000000,0.580000,0.500000,0.532525
8137.000000,0.553333,0.466667,0.500202
8306.000000,0.603333,0.550000,0.571313
8476.000000,0.600000,0.516667,0.552727
8645.000000,0.613333,0.533333,0.569697
8814.000000,0.506667,0.383333,0.431515
8984.000000,0.606667,0.550000,0.573737
9153.000000,0.586667,0.516667,0.544646
9322.000000,0.513333,0.416667,0.452525
9492.000000,0.593810,0.533333,0.557296
9661.000000,0.606667,0.550000,0.573737
9830.000000,0.603333,0.533333,0.562424
10000.000000,0.606667,0.533333,0.564848
