# Size, Precision, Recall, Fscore
10.000000,0.000000,0.000000,0.000000
30.000000,0.020000,0.003333,0.005714
50.000000,1.000000,0.166667,0.285714
70.000000,1.000000,0.166667,0.285714
90.000000,0.980000,0.163333,0.280000
111.000000,0.990000,0.166667,0.285000
131.000000,0.930000,0.160000,0.272143
151.000000,0.940000,0.160000,0.272857
171.000000,0.860000,0.150000,0.254286
191.000000,0.820000,0.143333,0.242857
212.000000,0.590000,0.113333,0.187857
232.000000,0.630000,0.120000,0.199286
252.000000,0.580000,0.100000,0.170000
272.000000,0.373333,0.070000,0.116032
292.000000,0.430000,0.080000,0.133571
313.000000,0.340000,0.066667,0.110000
333.000000,0.400000,0.066667,0.114286
353.000000,0.270000,0.053333,0.087857
373.000000,0.320000,0.060000,0.100000
393.000000,0.330000,0.060000,0.100714
414.000000,0.340000,0.060000,0.101429
434.000000,0.540000,0.090000,0.154286
454.000000,0.380000,0.063333,0.108571
474.000000,0.600000,0.103333,0.175714
494.000000,0.520000,0.086667,0.148571
515.000000,0.460000,0.076667,0.131429
535.000000,0.600000,0.100000,0.171429
555.000000,0.600000,0.100000,0.171429
575.000000,0.580000,0.096667,0.165714
595.000000,0.700000,0.116667,0.200000
616.000000,0.740000,0.123333,0.211429
636.000000,0.740000,0.123333,0.211429
656.000000,0.840000,0.140000,0.240000
676.000000,0.720000,0.120000,0.205714
696.000000,0.740000,0.123333,0.211429
717.000000,0.860000,0.143333,0.245714
737.000000,0.820000,0.136667,0.234286
757.000000,0.780000,0.130000,0.222857
777.000000,0.820000,0.136667,0.234286
797.000000,0.920000,0.153333,0.262857
818.000000,0.900000,0.150000,0.257143
838.000000,0.900000,0.150000,0.257143
858.000000,0.980000,0.163333,0.280000
878.000000,0.880000,0.146667,0.251429
898.000000,0.960000,0.160000,0.274286
919.000000,1.000000,0.166667,0.285714
939.000000,1.000000,0.166667,0.285714
959.000000,0.980000,0.163333,0.280000
979.000000,0.990000,0.166667,0.285000
1000.000000,1.000000,0.166667,0.285714
