# Size, Precision, Recall, Fscore
10.000000,0.552500,0.185000,0.267429
182.000000,0.628333,0.258333,0.345653
354.000000,0.737000,0.351667,0.449981
526.000000,0.796333,0.416667,0.514903
698.000000,0.802500,0.445000,0.542457
870.000000,0.833167,0.496667,0.594144
1042.000000,0.824167,0.481667,0.578320
1214.000000,0.848833,0.475000,0.571807
1386.000000,0.846667,0.501667,0.600984
1558.000000,0.863333,0.496667,0.593882
1730.000000,0.908333,0.501667,0.604590
1902.000000,0.899000,0.545000,0.646343
2074.000000,0.879500,0.535000,0.638100
2246.000000,0.870833,0.528333,0.624863
2418.000000,0.875667,0.523333,0.624475
2591.000000,0.858000,0.491667,0.590608
2763.000000,0.863738,0.496667,0.599297
2935.000000,0.867333,0.556667,0.650746
3107.000000,0.851333,0.528333,0.622023
3279.000000,0.897167,0.616667,0.708056
3451.000000,0.869833,0.583333,0.674457
3623.000000,0.908833,0.608333,0.704378
3795.000000,0.924333,0.631667,0.725091
3967.000000,0.865667,0.561667,0.652356
4139.000000,0.857000,0.565000,0.654820
4311.000000,0.878643,0.603333,0.692219
4483.000000,0.879333,0.575000,0.669412
4655.000000,0.884833,0.611667,0.703439
4827.000000,0.877667,0.583333,0.676361
5000.000000,0.899667,0.525000,0.626213
