# Size, Precision, Recall, Fscore
100.000000,0.491667,0.283333,0.355141
200.000000,0.485000,0.336667,0.395273
300.000000,0.449000,0.343333,0.386485
400.000000,0.468333,0.363333,0.406949
500.000000,0.551667,0.440000,0.488303
600.000000,0.502667,0.426667,0.459899
700.000000,0.547476,0.466667,0.502340
800.000000,0.606667,0.513333,0.554848
900.000000,0.597000,0.500000,0.543636
1000.000000,0.505000,0.426667,0.461455
1100.000000,0.601000,0.520000,0.556545
1200.000000,0.536667,0.463333,0.496667
1300.000000,0.648000,0.580000,0.610909
1400.000000,0.593000,0.516667,0.551273
1500.000000,0.600667,0.543333,0.569394
1600.000000,0.598095,0.540000,0.566247
1700.000000,0.656000,0.583333,0.616364
1800.000000,0.611905,0.566667,0.586830
1900.000000,0.490000,0.443333,0.464545
2000.000000,0.552857,0.496667,0.522168
