# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1095.000000,0.466667,0.304348,0.368421,0.000000,0.000000,0.000000
2090.000000,0.485714,0.369565,0.419753,0.000000,0.000000,0.000000
3085.000000,0.365854,0.326087,0.344828,0.000000,0.000000,0.000000
4080.000000,0.404762,0.369565,0.386364,0.000000,0.000000,0.000000
5075.000000,0.418605,0.391304,0.404494,0.000000,0.000000,0.000000
6070.000000,0.431818,0.413043,0.422222,0.000000,0.000000,0.000000
7065.000000,0.477273,0.456522,0.466667,0.000000,0.000000,0.000000
8060.000000,0.422222,0.413043,0.417582,0.000000,0.000000,0.000000
9055.000000,0.434783,0.434783,0.434783,0.000000,0.000000,0.000000
10050.000000,0.478261,0.478261,0.478261,0.000000,0.000000,0.000000
11045.000000,0.543478,0.543478,0.543478,0.000000,0.000000,0.000000
12040.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.000000
13035.000000,0.565217,0.565217,0.565217,0.000000,0.000000,0.000000
14030.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.000000
15025.000000,0.565217,0.565217,0.565217,0.000000,0.000000,0.000000
16020.000000,0.565217,0.565217,0.565217,0.000000,0.000000,0.000000
17015.000000,0.608696,0.608696,0.608696,0.000000,0.000000,0.000000
18010.000000,0.630435,0.630435,0.630435,0.000000,0.000000,0.000000
19005.000000,0.630435,0.630435,0.630435,0.000000,0.000000,0.000000
20000.000000,0.630435,0.630435,0.630435,0.000000,0.000000,0.000000
