# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1095.000000,0.987221,0.660870,0.790668,0.015733,0.048804,0.035415
2090.000000,0.978171,0.773913,0.863585,0.010991,0.037903,0.023755
3085.000000,0.990360,0.895652,0.940596,0.011808,0.016268,0.013515
4080.000000,1.000000,0.913043,0.954545,0.000000,0.000000,0.000000
5075.000000,0.995349,0.921739,0.957099,0.009302,0.010650,0.008466
6070.000000,0.981607,0.930435,0.955306,0.009200,0.016268,0.012401
7065.000000,1.000000,0.973913,0.986764,0.000000,0.008696,0.004493
8060.000000,0.995556,0.982609,0.989011,0.008889,0.016268,0.012038
9055.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
10050.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
11045.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
12040.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
13035.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
14030.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
15025.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
16020.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
17015.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
18010.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
19005.000000,1.000000,0.995652,0.997802,0.000000,0.008696,0.004396
20000.000000,1.000000,0.995652,0.997802,0.000000,0.008696,0.004396
