# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1089.000000,0.489286,0.475000,0.481667,0.101393,0.093541,0.096235
2129.000000,0.525000,0.525000,0.525000,0.145774,0.145774,0.145774
3168.000000,0.500000,0.500000,0.500000,0.079057,0.079057,0.079057
4208.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.000000
5247.000000,0.500000,0.500000,0.500000,0.136931,0.136931,0.136931
6287.000000,0.600000,0.600000,0.600000,0.050000,0.050000,0.050000
7327.000000,0.600000,0.600000,0.600000,0.050000,0.050000,0.050000
8366.000000,0.550000,0.550000,0.550000,0.100000,0.100000,0.100000
9406.000000,0.650000,0.650000,0.650000,0.050000,0.050000,0.050000
10445.000000,0.675000,0.675000,0.675000,0.100000,0.100000,0.100000
11485.000000,0.725000,0.725000,0.725000,0.093541,0.093541,0.093541
12525.000000,0.750000,0.750000,0.750000,0.111803,0.111803,0.111803
13564.000000,0.800000,0.800000,0.800000,0.100000,0.100000,0.100000
14604.000000,0.825000,0.825000,0.825000,0.061237,0.061237,0.061237
15643.000000,0.850000,0.850000,0.850000,0.050000,0.050000,0.050000
16683.000000,0.825000,0.825000,0.825000,0.061237,0.061237,0.061237
17722.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
18762.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
19802.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
20841.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
21881.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
22920.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
23960.000000,0.900000,0.900000,0.900000,0.050000,0.050000,0.050000
25000.000000,0.900000,0.900000,0.900000,0.050000,0.050000,0.050000
