# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
847.000000,0.111111,0.125000,0.117647,0.000000,0.000000,0.000000
1645.000000,0.200000,0.250000,0.222222,0.000000,0.000000,0.000000
2442.000000,0.250000,0.250000,0.250000,0.000000,0.000000,0.000000
3240.000000,0.250000,0.250000,0.250000,0.000000,0.000000,0.000000
4037.000000,0.200000,0.250000,0.222222,0.000000,0.000000,0.000000
4835.000000,0.200000,0.250000,0.222222,0.000000,0.000000,0.000000
5632.000000,0.214286,0.375000,0.272727,0.000000,0.000000,0.000000
6430.000000,0.200000,0.250000,0.222222,0.000000,0.000000,0.000000
7227.000000,0.250000,0.375000,0.300000,0.000000,0.000000,0.000000
8025.000000,0.200000,0.250000,0.222222,0.000000,0.000000,0.000000
8822.000000,0.250000,0.250000,0.250000,0.000000,0.000000,0.000000
9620.000000,0.200000,0.250000,0.222222,0.000000,0.000000,0.000000
10417.000000,0.222222,0.250000,0.235294,0.000000,0.000000,0.000000
11215.000000,0.181818,0.250000,0.210526,0.000000,0.000000,0.000000
12012.000000,0.200000,0.250000,0.222222,0.000000,0.000000,0.000000
12810.000000,0.181818,0.250000,0.210526,0.000000,0.000000,0.000000
13607.000000,0.100000,0.125000,0.111111,0.000000,0.000000,0.000000
14405.000000,0.090909,0.125000,0.105263,0.000000,0.000000,0.000000
15202.000000,0.222222,0.250000,0.235294,0.000000,0.000000,0.000000
16000.000000,0.214286,0.375000,0.272727,0.000000,0.000000,0.000000
