# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
1000.000000,0.475000,0.450000,0.460714,0.050000,0.061237,0.051010
4222.000000,0.500000,0.500000,0.500000,0.079057,0.079057,0.079057
7444.000000,0.525000,0.525000,0.525000,0.093541,0.093541,0.093541
10666.000000,0.650000,0.650000,0.650000,0.093541,0.093541,0.093541
13888.000000,0.650000,0.650000,0.650000,0.050000,0.050000,0.050000
17111.000000,0.650000,0.650000,0.650000,0.050000,0.050000,0.050000
20333.000000,0.675000,0.675000,0.675000,0.061237,0.061237,0.061237
23555.000000,0.675000,0.675000,0.675000,0.061237,0.061237,0.061237
26777.000000,0.725000,0.725000,0.725000,0.093541,0.093541,0.093541
30000.000000,0.775000,0.775000,0.775000,0.050000,0.050000,0.050000
