# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
1000.000000,0.200000,0.250000,0.222222,0.000000,0.000000,0.000000
2000.000000,0.300000,0.375000,0.333333,0.000000,0.000000,0.000000
3000.000000,0.181818,0.250000,0.210526,0.000000,0.000000,0.000000
4000.000000,0.083333,0.125000,0.100000,0.000000,0.000000,0.000000
5000.000000,0.272727,0.375000,0.315789,0.000000,0.000000,0.000000
6000.000000,0.272727,0.375000,0.315789,0.000000,0.000000,0.000000
7000.000000,0.272727,0.375000,0.315789,0.000000,0.000000,0.000000
8000.000000,0.200000,0.250000,0.222222,0.000000,0.000000,0.000000
9000.000000,0.200000,0.250000,0.222222,0.000000,0.000000,0.000000
10000.000000,0.166667,0.250000,0.200000,0.000000,0.000000,0.000000
