# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1047.000000,1.000000,0.875000,0.933333,0.000000,0.000000,0.000000
2045.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
3042.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
4040.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
5037.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
6035.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
7032.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
8030.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
9027.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
10025.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
11022.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
12020.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
13017.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
14015.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
15012.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
16010.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
17007.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
18005.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
19002.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
20000.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
