# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
50.000000,0.653333,0.300000,0.398881,0.134330,0.169558,0.186600
197.000000,0.796667,0.575000,0.662088,0.129271,0.127475,0.113432
345.000000,0.910000,0.550000,0.669347,0.111355,0.127475,0.083367
492.000000,0.826667,0.600000,0.672097,0.149666,0.122474,0.033341
640.000000,0.802857,0.700000,0.726984,0.165714,0.127475,0.078020
787.000000,0.796190,0.625000,0.674510,0.170324,0.111803,0.015686
935.000000,0.763095,0.700000,0.727857,0.081476,0.061237,0.058222
1082.000000,0.723701,0.750000,0.732368,0.085510,0.079057,0.057868
1230.000000,0.695685,0.775000,0.728741,0.067394,0.093541,0.058667
1377.000000,0.691313,0.775000,0.722768,0.107083,0.093541,0.070305
1525.000000,0.683333,0.700000,0.682857,0.093541,0.100000,0.049969
1672.000000,0.706162,0.825000,0.758806,0.052000,0.061237,0.039774
1820.000000,0.698333,0.750000,0.721732,0.048419,0.079057,0.053568
1967.000000,0.653939,0.825000,0.726257,0.062534,0.061237,0.038912
2115.000000,0.696667,0.800000,0.743464,0.030551,0.061237,0.032318
2262.000000,0.700000,0.800000,0.744444,0.054772,0.061237,0.040825
2410.000000,0.663333,0.775000,0.713399,0.058119,0.050000,0.044516
2557.000000,0.616970,0.800000,0.695562,0.041532,0.061237,0.041093
2705.000000,0.671212,0.800000,0.727090,0.041660,0.061237,0.017970
2852.000000,0.639697,0.775000,0.698194,0.068356,0.050000,0.043973
3000.000000,0.618485,0.850000,0.715439,0.022522,0.050000,0.028254
