# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
798.000000,0.691667,0.575000,0.625000,0.038188,0.114564,0.081832
1587.000000,0.750000,0.750000,0.750000,0.000000,0.000000,0.000000
2376.000000,0.750000,0.750000,0.750000,0.000000,0.000000,0.000000
3165.000000,0.750000,0.750000,0.750000,0.000000,0.000000,0.000000
3954.000000,0.750000,0.750000,0.750000,0.000000,0.000000,0.000000
4743.000000,0.762500,0.762500,0.762500,0.054486,0.054486,0.054486
5532.000000,0.750000,0.750000,0.750000,0.000000,0.000000,0.000000
6321.000000,0.800000,0.800000,0.800000,0.100000,0.100000,0.100000
7110.000000,0.775000,0.775000,0.775000,0.075000,0.075000,0.075000
7899.000000,0.800000,0.800000,0.800000,0.100000,0.100000,0.100000
8688.000000,0.825000,0.825000,0.825000,0.114564,0.114564,0.114564
9477.000000,0.850000,0.850000,0.850000,0.122474,0.122474,0.122474
10266.000000,0.862500,0.862500,0.862500,0.124373,0.124373,0.124373
11055.000000,0.887500,0.887500,0.887500,0.124373,0.124373,0.124373
11844.000000,0.912500,0.912500,0.912500,0.119242,0.119242,0.119242
12633.000000,0.937500,0.937500,0.937500,0.108253,0.108253,0.108253
13422.000000,0.975000,0.975000,0.975000,0.075000,0.075000,0.075000
14211.000000,0.987500,0.987500,0.987500,0.054486,0.054486,0.054486
15000.000000,0.975000,0.975000,0.975000,0.075000,0.075000,0.075000
