# Size, Precision, Recall, Fscore
10.000000,0.167333,0.095000,0.116159
114.000000,0.331667,0.205000,0.246238
219.000000,0.271000,0.245000,0.252714
324.000000,0.256000,0.245000,0.247175
428.000000,0.244333,0.250000,0.244651
533.000000,0.235333,0.250000,0.239714
638.000000,0.210667,0.250000,0.226762
743.000000,0.201714,0.250000,0.221717
847.000000,0.202381,0.250000,0.222098
952.000000,0.192524,0.250000,0.216414
1057.000000,0.186429,0.250000,0.212212
1162.000000,0.180476,0.250000,0.208707
1266.000000,0.170214,0.250000,0.201838
1371.000000,0.177929,0.250000,0.207212
1476.000000,0.175857,0.250000,0.205646
1581.000000,0.165262,0.250000,0.198444
1685.000000,0.166881,0.250000,0.199616
1790.000000,0.165381,0.250000,0.198293
1895.000000,0.164690,0.250000,0.197879
2000.000000,0.164476,0.250000,0.197939
