# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
1000.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
4222.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
7444.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
10666.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
13888.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
17111.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
20333.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
23555.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
26777.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
30000.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
