# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
100,"0,439394","0,630435","0,517857",0,0,0
325,"0,639344","0,847826","0,728972",0,0,0
550,"0,430556","0,673913","0,525424",0,0,0
775,"0,434783","0,652174","0,521739",0,0,0
1000,"0,684211","0,847826","0,757282",0,0,0
1100,"0,6","0,782609","0,679245",0,0,0
1325,"0,683333","0,891304","0,773585",0,0,0
1550,"0,590164","0,782609","0,672897",0,0,0
1775,"0,627119","0,804348","0,704762",0,0,0
2000,"0,655172","0,826087","0,730769",0,0,0
