# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
100.000000,0.963636,0.173913,0.293051,0.072727,0.027498,0.038919
1095.000000,0.921179,0.660870,0.769541,0.024322,0.022170,0.022594
2090.000000,0.975820,0.878261,0.924231,0.000764,0.029488,0.016401
3085.000000,0.981818,0.934783,0.957703,0.009091,0.000000,0.004295
4080.000000,0.973325,0.934783,0.953447,0.016376,0.013749,0.004242
5075.000000,0.982020,0.939130,0.960047,0.016685,0.008696,0.011122
6070.000000,0.969082,0.952174,0.960535,0.010654,0.008696,0.008745
7065.000000,0.973426,0.952174,0.962635,0.008454,0.008696,0.005395
8060.000000,0.977778,0.956522,0.967033,0.000000,0.000000,0.000000
9055.000000,0.977778,0.956522,0.967033,0.000000,0.000000,0.000000
10050.000000,0.977778,0.956522,0.967033,0.000000,0.000000,0.000000
11045.000000,0.977778,0.956522,0.967033,0.000000,0.000000,0.000000
12040.000000,0.977778,0.956522,0.967033,0.000000,0.000000,0.000000
13035.000000,0.977778,0.956522,0.967033,0.000000,0.000000,0.000000
14030.000000,0.977778,0.956522,0.967033,0.000000,0.000000,0.000000
15025.000000,0.977778,0.956522,0.967033,0.000000,0.000000,0.000000
16020.000000,0.973527,0.956522,0.964931,0.008502,0.000000,0.004204
17015.000000,0.973527,0.956522,0.964931,0.008502,0.000000,0.004204
18010.000000,0.969275,0.956522,0.962828,0.010413,0.000000,0.005149
19005.000000,0.965394,0.965217,0.965214,0.010117,0.010650,0.004358
20000.000000,0.961590,0.969565,0.965399,0.015091,0.010650,0.003989
