# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1089.000000,0.766667,0.575000,0.657143,0.133333,0.100000,0.114286
2129.000000,0.750000,0.750000,0.750000,0.000000,0.000000,0.000000
3168.000000,0.813889,0.850000,0.830882,0.082683,0.050000,0.065602
4208.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
5247.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
6287.000000,0.900000,0.900000,0.900000,0.050000,0.050000,0.050000
7327.000000,0.900000,0.900000,0.900000,0.050000,0.050000,0.050000
8366.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
9406.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
10445.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
11485.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
12525.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
13564.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
14604.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
15643.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
16683.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
17722.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
18762.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
19802.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
20841.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
21881.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
22920.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
23960.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
25000.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
