# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
50.000000,0.587013,0.650000,0.614407,0.183270,0.200000,0.189625
197.000000,0.772222,0.825000,0.797059,0.168646,0.169558,0.167453
345.000000,0.715812,0.800000,0.751120,0.182553,0.100000,0.150711
492.000000,0.669192,0.750000,0.704180,0.231948,0.193649,0.213879
640.000000,0.858333,0.875000,0.866176,0.107367,0.079057,0.093634
787.000000,0.825000,0.850000,0.836111,0.169558,0.122474,0.148397
935.000000,0.765000,0.775000,0.769444,0.286618,0.266927,0.277861
1082.000000,0.875000,0.875000,0.875000,0.111803,0.111803,0.111803
1230.000000,0.730909,0.800000,0.760819,0.154416,0.100000,0.127649
1377.000000,0.880556,0.900000,0.889706,0.070601,0.050000,0.058639
1525.000000,0.855556,0.875000,0.864706,0.038889,0.000000,0.020588
1672.000000,0.825000,0.850000,0.836111,0.169558,0.122474,0.148397
1820.000000,0.772727,0.800000,0.784211,0.204545,0.150000,0.181579
1967.000000,0.755556,0.800000,0.775817,0.137381,0.100000,0.119275
2115.000000,0.627273,0.675000,0.647368,0.258072,0.203101,0.234661
2262.000000,0.845000,0.875000,0.858333,0.131719,0.079057,0.107367
2410.000000,0.855556,0.875000,0.864706,0.038889,0.000000,0.020588
2557.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
2705.000000,0.750000,0.825000,0.781579,0.211131,0.127475,0.174827
2852.000000,0.754545,0.775000,0.763158,0.240909,0.200000,0.223684
3000.000000,0.855556,0.875000,0.864706,0.038889,0.000000,0.020588
