# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
526.000000,0.208889,0.237500,0.222222,0.086681,0.096014,0.091106
1043.000000,0.397222,0.456250,0.424183,0.102673,0.113709,0.106631
1560.000000,0.540873,0.575000,0.556765,0.090823,0.082916,0.085670
2077.000000,0.515278,0.575000,0.543219,0.072022,0.072887,0.071292
2594.000000,0.507778,0.593750,0.547059,0.068412,0.087277,0.075521
3111.000000,0.585556,0.725000,0.647712,0.070632,0.093541,0.080179
3628.000000,0.582778,0.725000,0.646078,0.065591,0.084779,0.073751
4145.000000,0.605000,0.756250,0.672222,0.021794,0.027243,0.024216
4662.000000,0.600000,0.750000,0.666667,0.000000,0.000000,0.000000
5178.000000,0.630000,0.787500,0.700000,0.045826,0.057282,0.050918
5695.000000,0.670000,0.837500,0.744444,0.045826,0.057282,0.050918
6212.000000,0.635000,0.793750,0.705556,0.047697,0.059621,0.052997
6729.000000,0.667273,0.837500,0.742690,0.051217,0.057282,0.054074
7246.000000,0.640455,0.831250,0.723099,0.050573,0.059621,0.052315
7763.000000,0.663182,0.868750,0.751754,0.034194,0.027243,0.027891
8280.000000,0.666818,0.856250,0.749415,0.050964,0.044634,0.047806
8797.000000,0.641818,0.837500,0.726316,0.089045,0.112500,0.097900
9314.000000,0.650909,0.868750,0.743860,0.037637,0.027243,0.031741
9831.000000,0.645909,0.875000,0.742982,0.022723,0.000000,0.014617
10347.000000,0.671364,0.875000,0.759357,0.031659,0.000000,0.020365
10864.000000,0.658636,0.875000,0.751170,0.030353,0.000000,0.019525
11381.000000,0.635000,0.868750,0.733626,0.024776,0.027243,0.025049
11898.000000,0.638182,0.868750,0.735673,0.028546,0.027243,0.026837
12415.000000,0.631818,0.868750,0.731579,0.019813,0.027243,0.022942
12932.000000,0.627273,0.862500,0.726316,0.027273,0.037500,0.031579
13449.000000,0.624545,0.850000,0.719883,0.043797,0.050000,0.045782
13966.000000,0.627273,0.862500,0.726316,0.027273,0.037500,0.031579
14483.000000,0.622727,0.856250,0.721053,0.032461,0.044634,0.037586
15000.000000,0.636364,0.875000,0.736842,0.000000,0.000000,0.000000
