# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
15000.000000,0.631818,0.868750,0.731579,0.019813,0.027243,0.022942
16000.000000,0.631818,0.868750,0.731579,0.019813,0.027243,0.022942
17000.000000,0.618182,0.850000,0.715789,0.036364,0.050000,0.042105
18000.000000,0.622727,0.856250,0.721053,0.032461,0.044634,0.037586
19000.000000,0.622727,0.856250,0.721053,0.032461,0.044634,0.037586
20000.000000,0.622727,0.856250,0.721053,0.032461,0.044634,0.037586
21000.000000,0.609091,0.837500,0.705263,0.041660,0.057282,0.048238
22000.000000,0.609091,0.837500,0.705263,0.041660,0.057282,0.048238
23000.000000,0.604545,0.831250,0.700000,0.043361,0.059621,0.050207
24000.000000,0.609091,0.837500,0.705263,0.041660,0.057282,0.048238
25000.000000,0.581818,0.800000,0.673684,0.044536,0.061237,0.051568
26000.000000,0.581818,0.800000,0.673684,0.044536,0.061237,0.051568
27000.000000,0.590909,0.812500,0.684211,0.045455,0.062500,0.052632
28000.000000,0.590909,0.812500,0.684211,0.045455,0.062500,0.052632
29000.000000,0.586364,0.806250,0.678947,0.045227,0.062187,0.052368
30000.000000,0.554545,0.762500,0.642105,0.027273,0.037500,0.031579
