# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
600.000000,1.000000,0.450000,0.618182,0.000000,0.061237,0.059382
1150.000000,1.000000,0.775000,0.872381,0.000000,0.050000,0.030476
1700.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
2250.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
2800.000000,0.955556,1.000000,0.976471,0.054433,0.000000,0.028818
3350.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
3900.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
4450.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
5000.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
