# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
50.000000,0.873333,0.925000,0.896732,0.155492,0.100000,0.128504
600.000000,0.955556,1.000000,0.976471,0.054433,0.000000,0.028818
1150.000000,0.933333,1.000000,0.960000,0.133333,0.000000,0.080000
1700.000000,0.937778,1.000000,0.966013,0.081225,0.000000,0.044789
2250.000000,0.893333,1.000000,0.942484,0.063479,0.000000,0.035173
2800.000000,0.977778,1.000000,0.988235,0.044444,0.000000,0.023529
3350.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
3900.000000,0.772121,1.000000,0.866199,0.124063,0.000000,0.074515
4450.000000,0.920000,1.000000,0.955556,0.097980,0.000000,0.054433
5000.000000,0.977778,1.000000,0.988235,0.044444,0.000000,0.023529
