# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
1000.000000,0.533333,0.375000,0.439560,0.091894,0.079057,0.084265
4222.000000,0.425000,0.425000,0.425000,0.100000,0.100000,0.100000
7444.000000,0.575000,0.575000,0.575000,0.100000,0.100000,0.100000
10666.000000,0.625000,0.625000,0.625000,0.000000,0.000000,0.000000
13888.000000,0.625000,0.625000,0.625000,0.000000,0.000000,0.000000
17111.000000,0.625000,0.625000,0.625000,0.000000,0.000000,0.000000
20333.000000,0.625000,0.625000,0.625000,0.000000,0.000000,0.000000
23555.000000,0.625000,0.625000,0.625000,0.000000,0.000000,0.000000
26777.000000,0.625000,0.625000,0.625000,0.000000,0.000000,0.000000
30000.000000,0.625000,0.625000,0.625000,0.000000,0.000000,0.000000
