# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
1000.000000,0.785000,0.800000,0.791667,0.247285,0.217945,0.234224
4222.000000,0.693434,0.725000,0.707276,0.282455,0.242384,0.265041
7444.000000,0.729545,0.750000,0.738158,0.233483,0.193649,0.216662
10666.000000,0.845000,0.875000,0.858333,0.131719,0.079057,0.107367
13888.000000,0.902778,0.925000,0.913235,0.048908,0.061237,0.050388
17111.000000,0.900000,0.900000,0.900000,0.050000,0.050000,0.050000
20333.000000,0.925000,0.925000,0.925000,0.061237,0.061237,0.061237
23555.000000,0.640657,0.700000,0.666916,0.263227,0.217945,0.243362
26777.000000,0.811111,0.825000,0.817647,0.127778,0.100000,0.114706
30000.000000,0.900000,0.900000,0.900000,0.050000,0.050000,0.050000
