# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
100.000000,0.728283,0.800000,0.759766,0.209821,0.174105,0.192358
613.000000,0.785164,0.850000,0.814213,0.205827,0.175000,0.190755
1127.000000,0.872222,0.881250,0.876471,0.064788,0.048007,0.055882
1641.000000,0.773894,0.812500,0.789731,0.200086,0.139754,0.175424
2155.000000,0.890972,0.900000,0.895221,0.101615,0.093541,0.096905
2668.000000,0.857386,0.862500,0.859539,0.139244,0.117925,0.130228
3182.000000,0.820720,0.850000,0.833151,0.201029,0.151038,0.179149
3696.000000,0.716944,0.768750,0.739578,0.244452,0.210190,0.228708
4210.000000,0.882639,0.887500,0.884926,0.044461,0.037500,0.039955
4724.000000,0.870000,0.875000,0.872222,0.116619,0.096825,0.107726
5237.000000,0.897222,0.906250,0.901471,0.082683,0.067024,0.074494
5751.000000,0.818624,0.843750,0.829857,0.192887,0.157495,0.177209
6265.000000,0.799747,0.831250,0.813142,0.214003,0.168981,0.194886
6779.000000,0.837753,0.856250,0.845782,0.168537,0.132730,0.152766
7293.000000,0.727854,0.781250,0.750555,0.246739,0.197148,0.224920
7806.000000,0.807386,0.825000,0.814817,0.204181,0.164886,0.187643
8320.000000,0.805105,0.837500,0.818664,0.181730,0.137500,0.162928
8834.000000,0.880833,0.900000,0.889624,0.065751,0.050000,0.054350
9348.000000,0.895833,0.912500,0.903676,0.044030,0.057282,0.046672
9862.000000,0.805997,0.831250,0.816892,0.160016,0.120384,0.142607
10375.000000,0.876389,0.887500,0.881176,0.157129,0.130504,0.145990
10889.000000,0.858775,0.868750,0.863216,0.143839,0.121675,0.134064
11403.000000,0.778773,0.812500,0.793407,0.214795,0.174553,0.198009
11917.000000,0.874116,0.887500,0.879992,0.118315,0.087500,0.104279
12431.000000,0.819444,0.843750,0.830131,0.145336,0.103645,0.127270
12944.000000,0.828914,0.843750,0.835642,0.133189,0.110926,0.123016
13458.000000,0.822525,0.837500,0.829188,0.167087,0.137500,0.154012
13972.000000,0.816793,0.843750,0.828406,0.150658,0.103645,0.130350
14486.000000,0.851389,0.868750,0.858971,0.146861,0.115075,0.133037
15000.000000,0.856692,0.875000,0.865054,0.173490,0.147902,0.161751
