# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
1000.000000,0.403321,0.443750,0.421584,0.110222,0.115075,0.110678
2000.000000,0.521528,0.575000,0.546691,0.067110,0.061237,0.063350
3000.000000,0.591111,0.731250,0.653595,0.035242,0.044634,0.038055
4000.000000,0.605000,0.756250,0.672222,0.021794,0.027243,0.024216
5000.000000,0.615000,0.768750,0.683333,0.035707,0.044634,0.039675
6000.000000,0.635000,0.793750,0.705556,0.047697,0.059621,0.052997
7000.000000,0.656364,0.843750,0.738012,0.047984,0.054127,0.048738
8000.000000,0.653182,0.831250,0.731287,0.062673,0.071535,0.065864
9000.000000,0.665000,0.875000,0.755263,0.031659,0.000000,0.020365
10000.000000,0.642727,0.875000,0.740936,0.019091,0.000000,0.012281
11000.000000,0.644545,0.868750,0.739766,0.034003,0.027243,0.029675
12000.000000,0.636364,0.875000,0.736842,0.000000,0.000000,0.000000
13000.000000,0.636364,0.875000,0.736842,0.000000,0.000000,0.000000
14000.000000,0.630455,0.862500,0.728363,0.031528,0.037500,0.033465
15000.000000,0.631818,0.868750,0.731579,0.019813,0.027243,0.022942
16000.000000,0.636364,0.875000,0.736842,0.000000,0.000000,0.000000
17000.000000,0.627273,0.862500,0.726316,0.027273,0.037500,0.031579
18000.000000,0.631818,0.868750,0.731579,0.019813,0.027243,0.022942
19000.000000,0.622727,0.856250,0.721053,0.032461,0.044634,0.037586
20000.000000,0.622727,0.856250,0.721053,0.032461,0.044634,0.037586
21000.000000,0.609091,0.837500,0.705263,0.041660,0.057282,0.048238
22000.000000,0.622727,0.856250,0.721053,0.032461,0.044634,0.037586
23000.000000,0.609091,0.837500,0.705263,0.041660,0.057282,0.048238
24000.000000,0.609091,0.837500,0.705263,0.041660,0.057282,0.048238
25000.000000,0.604545,0.831250,0.700000,0.043361,0.059621,0.050207
26000.000000,0.568182,0.781250,0.657895,0.039365,0.054127,0.045580
27000.000000,0.581818,0.800000,0.673684,0.044536,0.061237,0.051568
28000.000000,0.590909,0.812500,0.684211,0.045455,0.062500,0.052632
29000.000000,0.577273,0.793750,0.668421,0.043361,0.059621,0.050207
30000.000000,0.563636,0.775000,0.652632,0.036364,0.050000,0.042105
