# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
354.000000,0.250000,0.166667,0.200000,0.000000,0.000000,0.000000
698.000000,0.470000,0.316667,0.378182,0.135462,0.089753,0.107657
1043.000000,0.476667,0.400000,0.434848,0.101708,0.081650,0.090542
1387.000000,0.670000,0.583333,0.622727,0.148661,0.098601,0.120347
1732.000000,0.800000,0.666667,0.727273,0.000000,0.000000,0.000000
2076.000000,0.800000,0.666667,0.727273,0.000000,0.000000,0.000000
2421.000000,0.800000,0.666667,0.727273,0.000000,0.000000,0.000000
2765.000000,0.800000,0.666667,0.727273,0.000000,0.000000,0.000000
3110.000000,0.800000,0.666667,0.727273,0.000000,0.000000,0.000000
3454.000000,0.800000,0.666667,0.727273,0.000000,0.000000,0.000000
3799.000000,0.800000,0.666667,0.727273,0.000000,0.000000,0.000000
4143.000000,0.800000,0.666667,0.727273,0.000000,0.000000,0.000000
4488.000000,0.800000,0.666667,0.727273,0.000000,0.000000,0.000000
4832.000000,0.800000,0.666667,0.727273,0.000000,0.000000,0.000000
5177.000000,0.800000,0.666667,0.727273,0.000000,0.000000,0.000000
5521.000000,0.800000,0.666667,0.727273,0.000000,0.000000,0.000000
5866.000000,0.776667,0.658333,0.712121,0.056862,0.036324,0.042316
6210.000000,0.800000,0.666667,0.727273,0.000000,0.000000,0.000000
6555.000000,0.805000,0.691667,0.743182,0.011902,0.059512,0.037871
6899.000000,0.786667,0.666667,0.721212,0.040000,0.000000,0.018182
7244.000000,0.728333,0.633333,0.676515,0.094443,0.066667,0.075496
7588.000000,0.735000,0.658333,0.693182,0.077800,0.064010,0.063179
7933.000000,0.795000,0.741667,0.765909,0.056051,0.082916,0.064189
8277.000000,0.775000,0.741667,0.756818,0.089365,0.098249,0.089826
8622.000000,0.760238,0.758333,0.758800,0.115845,0.111492,0.112517
8966.000000,0.719048,0.741667,0.729487,0.109265,0.111492,0.107944
9311.000000,0.675000,0.708333,0.690385,0.132838,0.116369,0.123389
9655.000000,0.604762,0.641667,0.621520,0.131147,0.108972,0.119037
10000.000000,0.559524,0.625000,0.589469,0.113314,0.116369,0.112171
