# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
100.000000,0.657262,0.625000,0.637984,0.188355,0.165622,0.171651
1131.000000,0.760714,0.766667,0.763462,0.196839,0.185592,0.191514
2162.000000,0.841667,0.850000,0.845513,0.159235,0.148137,0.153604
3193.000000,0.733333,0.758333,0.744872,0.245781,0.220322,0.233668
4224.000000,0.830952,0.833333,0.832051,0.157197,0.149071,0.153413
5255.000000,0.848810,0.858333,0.853205,0.156542,0.151612,0.153444
6286.000000,0.829762,0.833333,0.831410,0.128500,0.117851,0.123455
7317.000000,0.713095,0.733333,0.722436,0.221374,0.200000,0.211102
8348.000000,0.846429,0.850000,0.848077,0.116515,0.104083,0.110679
9379.000000,0.771429,0.791667,0.780769,0.199830,0.181621,0.190673
10410.000000,0.711607,0.741667,0.725275,0.272555,0.244239,0.259294
11441.000000,0.766667,0.775000,0.770513,0.187416,0.168943,0.178840
12472.000000,0.777381,0.791667,0.783974,0.183854,0.157012,0.171396
13503.000000,0.809524,0.816667,0.812821,0.146191,0.128019,0.137688
14534.000000,0.775000,0.783333,0.778846,0.193792,0.175594,0.185338
15565.000000,0.666667,0.691667,0.678205,0.256436,0.231391,0.244664
16596.000000,0.717857,0.733333,0.725000,0.209777,0.185592,0.198510
17627.000000,0.798810,0.808333,0.803205,0.189053,0.168943,0.179683
18658.000000,0.850000,0.850000,0.850000,0.050000,0.050000,0.050000
19689.000000,0.794048,0.800000,0.796795,0.169077,0.154560,0.162283
20720.000000,0.772619,0.783333,0.777564,0.237556,0.217945,0.228453
21751.000000,0.760714,0.775000,0.767308,0.175848,0.151612,0.164447
22782.000000,0.814286,0.825000,0.819231,0.198292,0.186153,0.192218
23813.000000,0.721429,0.741667,0.730769,0.233175,0.213925,0.223827
24844.000000,0.754762,0.766667,0.760256,0.213902,0.192931,0.204128
25875.000000,0.741667,0.766667,0.753205,0.189772,0.169967,0.179710
26906.000000,0.796429,0.808333,0.801923,0.233949,0.212623,0.224028
27937.000000,0.738095,0.750000,0.743590,0.220029,0.200693,0.210974
28968.000000,0.804762,0.816667,0.810256,0.165060,0.148137,0.156736
30000.000000,0.671429,0.691667,0.680769,0.250011,0.225308,0.238506
