# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
100.000000,0.877500,0.887500,0.881944,0.279497,0.267804,0.273844
613.000000,0.705000,0.737500,0.718889,0.423645,0.429207,0.424513
1127.000000,0.797143,0.812500,0.803535,0.384166,0.378112,0.381432
1641.000000,0.840714,0.900000,0.864343,0.288036,0.242384,0.267227
2155.000000,0.975000,0.987500,0.980000,0.108972,0.054486,0.087178
2668.000000,0.940000,0.950000,0.944444,0.220000,0.217945,0.218016
3182.000000,0.807143,0.837500,0.819091,0.352903,0.328586,0.341677
3696.000000,0.850000,0.850000,0.850000,0.357071,0.357071,0.357071
4210.000000,0.980000,1.000000,0.988889,0.060000,0.000000,0.033333
4724.000000,0.930000,0.975000,0.948889,0.155242,0.075000,0.120922
5237.000000,0.930000,0.950000,0.938889,0.221585,0.217945,0.217945
5751.000000,0.961429,0.987500,0.971717,0.129764,0.054486,0.100737
6265.000000,0.851429,0.887500,0.866162,0.313453,0.300780,0.306027
6779.000000,0.940000,0.950000,0.944444,0.220000,0.217945,0.218016
7293.000000,0.890000,0.900000,0.894444,0.299833,0.300000,0.299124
7806.000000,0.865000,0.887500,0.874444,0.310282,0.300780,0.304718
8320.000000,0.865000,0.887500,0.874444,0.310282,0.300780,0.304718
8834.000000,0.990000,1.000000,0.994444,0.043589,0.000000,0.024216
9348.000000,0.965000,0.987500,0.974444,0.115217,0.054486,0.089242
9862.000000,0.954286,0.975000,0.962626,0.159438,0.108972,0.139529
10375.000000,0.940000,0.950000,0.944444,0.220000,0.217945,0.218016
10889.000000,0.946429,0.975000,0.957273,0.161111,0.075000,0.128472
11403.000000,0.850000,0.850000,0.850000,0.357071,0.357071,0.357071
11917.000000,0.915000,0.937500,0.924444,0.239322,0.221853,0.230019
12431.000000,0.965000,0.987500,0.974444,0.115217,0.054486,0.089242
12944.000000,0.940000,0.950000,0.944444,0.220000,0.217945,0.218016
13458.000000,0.868571,0.900000,0.880808,0.296290,0.266927,0.283218
13972.000000,0.765000,0.812500,0.784444,0.366436,0.352447,0.357985
14486.000000,0.915000,0.962500,0.934444,0.179652,0.089268,0.142547
15000.000000,0.865000,0.887500,0.874444,0.310282,0.300780,0.304718
