# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
526.000000,0.662500,0.662500,0.662500,0.119242,0.119242,0.119242
1043.000000,0.750000,0.750000,0.750000,0.079057,0.079057,0.079057
1560.000000,0.975000,0.975000,0.975000,0.075000,0.075000,0.075000
2077.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
2594.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
3111.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
3628.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
4145.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
4662.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
5178.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
5695.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
6212.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
6729.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
7246.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
7763.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
8280.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
8797.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
9314.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
9831.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
10347.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
10864.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
11381.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
11898.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
12415.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
12932.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
13449.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
13966.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
14483.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
15000.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
