# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
100.000000,0.694167,0.712500,0.701944,0.428734,0.427748,0.427674
1200.000000,0.880000,0.900000,0.888889,0.299333,0.300000,0.298142
2300.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
3400.000000,0.921429,0.937500,0.927273,0.245261,0.221853,0.234609
4500.000000,0.872143,0.900000,0.883535,0.291354,0.266927,0.280222
5600.000000,0.715000,0.762500,0.734444,0.397838,0.391112,0.392553
6700.000000,0.980000,1.000000,0.988889,0.060000,0.000000,0.033333
7800.000000,0.800000,0.850000,0.820000,0.331662,0.300000,0.315595
8900.000000,0.975000,0.987500,0.980000,0.108972,0.054486,0.087178
10000.000000,0.906667,0.950000,0.924444,0.233238,0.217945,0.221153
