# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
100.000000,0.444444,0.086957,0.145455,0.000000,0.000000,0.000000
644.000000,0.454545,0.217391,0.294118,0.000000,0.000000,0.000000
1188.000000,0.485714,0.369565,0.419753,0.000000,0.000000,0.000000
1733.000000,0.578947,0.478261,0.523810,0.000000,0.000000,0.000000
2277.000000,0.589744,0.500000,0.541176,0.000000,0.000000,0.000000
2822.000000,0.585366,0.521739,0.551724,0.000000,0.000000,0.000000
3366.000000,0.609756,0.543478,0.574713,0.000000,0.000000,0.000000
3911.000000,0.595238,0.543478,0.568182,0.000000,0.000000,0.000000
4455.000000,0.595238,0.543478,0.568182,0.000000,0.000000,0.000000
5000.000000,0.534884,0.500000,0.516854,0.000000,0.000000,0.000000
