# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1089.000000,0.757143,0.600000,0.668571,0.103674,0.050000,0.070089
2129.000000,0.725000,0.725000,0.725000,0.050000,0.050000,0.050000
3168.000000,0.772222,0.825000,0.797059,0.093211,0.061237,0.076781
4208.000000,0.855556,0.875000,0.864706,0.038889,0.000000,0.020588
5247.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
6287.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
7327.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
8366.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
9406.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
10445.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
11485.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
12525.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
13564.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
14604.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
15643.000000,0.900000,0.900000,0.900000,0.050000,0.050000,0.050000
16683.000000,0.900000,0.900000,0.900000,0.050000,0.050000,0.050000
17722.000000,0.950000,0.950000,0.950000,0.061237,0.061237,0.061237
18762.000000,0.975000,0.975000,0.975000,0.050000,0.050000,0.050000
19802.000000,0.975000,0.975000,0.975000,0.050000,0.050000,0.050000
20841.000000,0.975000,0.975000,0.975000,0.050000,0.050000,0.050000
21881.000000,0.952778,0.975000,0.963235,0.058002,0.050000,0.049653
22920.000000,0.952778,0.975000,0.963235,0.058002,0.050000,0.049653
23960.000000,0.930556,0.975000,0.951471,0.056928,0.050000,0.046411
25000.000000,0.975000,0.975000,0.975000,0.050000,0.050000,0.050000
