# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
50.000000,0.745202,0.825000,0.780728,0.108528,0.061237,0.084547
1089.000000,0.729798,0.800000,0.761146,0.186334,0.150000,0.169340
2129.000000,0.854545,0.875000,0.863158,0.290909,0.250000,0.273684
3168.000000,0.830000,0.850000,0.838889,0.222149,0.183712,0.204992
4208.000000,0.830000,0.850000,0.838889,0.222149,0.183712,0.204992
5247.000000,0.783333,0.850000,0.811111,0.266667,0.183712,0.232007
6287.000000,0.763333,0.825000,0.788889,0.289904,0.217945,0.259153
7327.000000,0.845000,0.875000,0.858333,0.131719,0.079057,0.107367
8366.000000,0.710000,0.750000,0.727778,0.257196,0.209165,0.235800
9406.000000,0.876923,0.925000,0.895238,0.246154,0.150000,0.209524
10445.000000,0.704545,0.750000,0.724269,0.273389,0.223607,0.251709
11485.000000,0.654545,0.725000,0.683158,0.234939,0.183712,0.209738
12525.000000,0.925000,0.925000,0.925000,0.061237,0.061237,0.061237
13564.000000,0.850000,0.875000,0.861111,0.183712,0.136931,0.162684
14604.000000,0.905556,0.925000,0.914706,0.084893,0.061237,0.072134
15643.000000,0.950000,0.950000,0.950000,0.061237,0.061237,0.061237
16683.000000,0.741667,0.800000,0.766111,0.274368,0.203101,0.244800
17722.000000,0.783838,0.825000,0.801858,0.271610,0.217945,0.248366
18762.000000,0.875000,0.900000,0.886111,0.193649,0.145774,0.172222
19802.000000,0.716667,0.800000,0.752288,0.244949,0.169558,0.213180
20841.000000,0.933333,0.950000,0.941176,0.133333,0.100000,0.117647
21881.000000,0.734545,0.775000,0.752047,0.327596,0.278388,0.306393
22920.000000,0.836111,0.850000,0.842647,0.148397,0.122474,0.136107
23960.000000,0.662020,0.725000,0.689577,0.287715,0.242384,0.267043
25000.000000,0.850000,0.875000,0.861111,0.183712,0.136931,0.162684
