# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
1000.000000,0.466845,0.512500,0.487606,0.133984,0.130504,0.131355
2000.000000,0.550000,0.606250,0.576471,0.085323,0.081729,0.082713
3000.000000,0.605000,0.743750,0.666993,0.033789,0.027243,0.029118
4000.000000,0.607778,0.756250,0.673856,0.032222,0.048007,0.038606
5000.000000,0.645000,0.806250,0.716667,0.049749,0.062187,0.055277
6000.000000,0.670000,0.837500,0.744444,0.045826,0.057282,0.050918
7000.000000,0.669545,0.856250,0.751170,0.045570,0.044634,0.043937
8000.000000,0.680909,0.875000,0.765497,0.029162,0.000000,0.018759
9000.000000,0.639545,0.875000,0.738889,0.013869,0.000000,0.008922
10000.000000,0.636364,0.875000,0.736842,0.000000,0.000000,0.000000
11000.000000,0.627273,0.862500,0.726316,0.039626,0.054486,0.045883
12000.000000,0.636364,0.875000,0.736842,0.000000,0.000000,0.000000
13000.000000,0.636364,0.875000,0.736842,0.000000,0.000000,0.000000
14000.000000,0.627273,0.862500,0.726316,0.039626,0.054486,0.045883
15000.000000,0.636364,0.875000,0.736842,0.000000,0.000000,0.000000
16000.000000,0.636364,0.875000,0.736842,0.000000,0.000000,0.000000
17000.000000,0.636364,0.875000,0.736842,0.000000,0.000000,0.000000
18000.000000,0.636364,0.875000,0.736842,0.000000,0.000000,0.000000
19000.000000,0.636364,0.875000,0.736842,0.000000,0.000000,0.000000
20000.000000,0.636364,0.875000,0.736842,0.000000,0.000000,0.000000
21000.000000,0.627273,0.862500,0.726316,0.039626,0.054486,0.045883
22000.000000,0.618182,0.850000,0.715789,0.054545,0.075000,0.063158
23000.000000,0.636364,0.875000,0.736842,0.000000,0.000000,0.000000
24000.000000,0.627273,0.862500,0.726316,0.039626,0.054486,0.045883
25000.000000,0.627273,0.862500,0.726316,0.039626,0.054486,0.045883
26000.000000,0.636364,0.875000,0.736842,0.000000,0.000000,0.000000
27000.000000,0.636364,0.875000,0.736842,0.000000,0.000000,0.000000
28000.000000,0.607576,0.850000,0.708421,0.055132,0.075000,0.062417
29000.000000,0.577273,0.800000,0.670526,0.085596,0.114564,0.097750
30000.000000,0.581818,0.800000,0.673684,0.083320,0.114564,0.096475
