# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
50.000000,0.200000,0.025000,0.044444,0.400000,0.050000,0.088889
197.000000,1.000000,0.225000,0.346667,0.000000,0.145774,0.174186
345.000000,1.000000,0.325000,0.487273,0.000000,0.061237,0.071258
492.000000,1.000000,0.475000,0.642424,0.000000,0.050000,0.048485
640.000000,1.000000,0.525000,0.687179,0.000000,0.050000,0.041026
787.000000,1.000000,0.625000,0.766300,0.000000,0.079057,0.060341
935.000000,1.000000,0.775000,0.870037,0.000000,0.093541,0.060840
1082.000000,1.000000,0.825000,0.902857,0.000000,0.061237,0.037326
1230.000000,1.000000,0.950000,0.973333,0.000000,0.061237,0.032660
1377.000000,1.000000,0.975000,0.986667,0.000000,0.050000,0.026667
1525.000000,1.000000,0.975000,0.986667,0.000000,0.050000,0.026667
1672.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
1820.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
1967.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
2115.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
2262.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
2410.000000,0.977778,1.000000,0.988235,0.044444,0.000000,0.023529
2557.000000,0.977778,1.000000,0.988235,0.044444,0.000000,0.023529
2705.000000,0.955556,1.000000,0.976471,0.054433,0.000000,0.028818
2852.000000,0.955556,1.000000,0.976471,0.054433,0.000000,0.028818
3000.000000,0.933333,1.000000,0.964706,0.054433,0.000000,0.028818
