# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
50.000000,0.925000,0.850000,0.885000,0.100000,0.050000,0.071181
197.000000,0.937778,1.000000,0.966013,0.081225,0.000000,0.044789
345.000000,0.883232,1.000000,0.934434,0.108215,0.000000,0.062036
492.000000,0.937778,1.000000,0.966013,0.081225,0.000000,0.044789
640.000000,0.960000,1.000000,0.977778,0.080000,0.000000,0.044444
787.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
935.000000,0.960000,1.000000,0.977778,0.080000,0.000000,0.044444
1082.000000,0.937778,1.000000,0.966013,0.081225,0.000000,0.044789
1230.000000,0.915556,1.000000,0.954248,0.076206,0.000000,0.041952
1377.000000,0.937778,1.000000,0.966013,0.081225,0.000000,0.044789
1525.000000,0.915556,1.000000,0.954248,0.076206,0.000000,0.041952
1672.000000,0.977778,1.000000,0.988235,0.044444,0.000000,0.023529
1820.000000,0.945455,1.000000,0.968421,0.109091,0.000000,0.063158
1967.000000,0.960000,1.000000,0.977778,0.080000,0.000000,0.044444
2115.000000,0.920000,1.000000,0.955556,0.097980,0.000000,0.054433
2262.000000,0.945455,1.000000,0.968421,0.109091,0.000000,0.063158
2410.000000,0.977778,1.000000,0.988235,0.044444,0.000000,0.023529
2557.000000,0.843077,1.000000,0.907937,0.144779,0.000000,0.088320
2705.000000,0.977778,1.000000,0.988235,0.044444,0.000000,0.023529
2852.000000,0.880000,1.000000,0.933333,0.097980,0.000000,0.054433
3000.000000,0.933333,1.000000,0.964706,0.054433,0.000000,0.028818
