# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
1000.000000,0.685714,0.550000,0.609524,0.093314,0.100000,0.096374
4222.000000,0.475000,0.475000,0.475000,0.122474,0.122474,0.122474
7444.000000,0.625000,0.625000,0.625000,0.000000,0.000000,0.000000
10666.000000,0.625000,0.625000,0.625000,0.000000,0.000000,0.000000
13888.000000,0.625000,0.625000,0.625000,0.000000,0.000000,0.000000
17111.000000,0.625000,0.625000,0.625000,0.000000,0.000000,0.000000
20333.000000,0.625000,0.625000,0.625000,0.000000,0.000000,0.000000
23555.000000,0.611111,0.625000,0.617647,0.027778,0.000000,0.014706
26777.000000,0.611111,0.625000,0.617647,0.027778,0.000000,0.014706
30000.000000,0.625000,0.625000,0.625000,0.000000,0.000000,0.000000
