# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
1000.000000,0.825000,0.850000,0.836111,0.187083,0.145774,0.168142
4222.000000,0.762778,0.800000,0.779902,0.231451,0.217945,0.224750
7444.000000,0.659091,0.700000,0.676316,0.328407,0.280624,0.308198
10666.000000,0.780000,0.800000,0.788889,0.190000,0.150000,0.172222
13888.000000,0.779545,0.800000,0.788158,0.257992,0.217945,0.241095
17111.000000,0.728283,0.775000,0.748916,0.189177,0.145774,0.170210
20333.000000,0.800000,0.825000,0.811111,0.150000,0.100000,0.127778
23555.000000,0.900000,0.900000,0.900000,0.093541,0.093541,0.093541
26777.000000,0.833333,0.850000,0.841176,0.114867,0.093541,0.104049
30000.000000,0.875000,0.875000,0.875000,0.000000,0.000000,0.000000
