# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
1000.000000,0.815619,0.843750,0.828296,0.179253,0.152454,0.166208
2000.000000,0.778510,0.812500,0.793563,0.189248,0.160565,0.174836
3000.000000,0.753986,0.787500,0.767607,0.259206,0.213234,0.238738
4000.000000,0.852525,0.862500,0.856966,0.145702,0.124373,0.136265
5000.000000,0.830997,0.850000,0.839687,0.150220,0.128695,0.140118
6000.000000,0.876389,0.881250,0.878676,0.035383,0.027243,0.030003
7000.000000,0.836364,0.850000,0.842105,0.164455,0.128695,0.148981
8000.000000,0.851414,0.875000,0.862031,0.152256,0.125000,0.139033
9000.000000,0.867361,0.875000,0.870956,0.105453,0.088388,0.097117
10000.000000,0.876136,0.881250,0.878289,0.148464,0.127934,0.139754
11000.000000,0.853914,0.862500,0.857701,0.160995,0.136359,0.150244
12000.000000,0.883194,0.893750,0.888031,0.123004,0.106617,0.114997
13000.000000,0.800189,0.818750,0.808417,0.192439,0.160444,0.178504
14000.000000,0.832449,0.850000,0.840286,0.218361,0.192029,0.206778
15000.000000,0.835606,0.850000,0.841873,0.201985,0.170477,0.188442
16000.000000,0.893750,0.893750,0.893750,0.044634,0.044634,0.044634
17000.000000,0.881250,0.881250,0.881250,0.048007,0.048007,0.048007
18000.000000,0.833523,0.843750,0.837829,0.192085,0.162380,0.179537
19000.000000,0.876389,0.881250,0.878676,0.053051,0.048007,0.049626
20000.000000,0.893750,0.893750,0.893750,0.059621,0.059621,0.059621
21000.000000,0.906250,0.906250,0.906250,0.054127,0.054127,0.054127
22000.000000,0.887500,0.887500,0.887500,0.037500,0.037500,0.037500
23000.000000,0.918750,0.918750,0.918750,0.071535,0.071535,0.071535
24000.000000,0.875000,0.875000,0.875000,0.055902,0.055902,0.055902
25000.000000,0.857386,0.862500,0.859539,0.139244,0.117925,0.130228
26000.000000,0.842614,0.856250,0.848355,0.170313,0.132730,0.154283
27000.000000,0.863636,0.868750,0.865789,0.142658,0.121675,0.133771
28000.000000,0.851136,0.856250,0.853289,0.146538,0.126707,0.138097
29000.000000,0.862500,0.881250,0.870278,0.130504,0.083619,0.109481
30000.000000,0.867917,0.881250,0.874060,0.146606,0.121675,0.134906
