# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1044.000000,0.737500,0.737500,0.737500,0.054486,0.054486,0.054486
2078.000000,0.862500,0.862500,0.862500,0.124373,0.124373,0.124373
3112.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
4146.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
5180.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
6214.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
7248.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
8283.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
9317.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
10351.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
11385.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
12419.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
13453.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
14487.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
15522.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
16556.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
17590.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
18624.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
19658.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
20692.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
21726.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
22761.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
23795.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
24829.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
25863.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
26897.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
27931.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
28965.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
30000.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
