# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
100.000000,0.794167,0.775000,0.781944,0.312218,0.315238,0.310234
1131.000000,0.925000,0.937500,0.930000,0.238485,0.221853,0.230434
2162.000000,0.965000,0.987500,0.974444,0.115217,0.054486,0.089242
3193.000000,0.846250,0.862500,0.852778,0.341529,0.330483,0.337143
4224.000000,0.950000,0.950000,0.950000,0.217945,0.217945,0.217945
5255.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
6286.000000,0.975000,0.987500,0.980000,0.108972,0.054486,0.087178
7317.000000,0.980000,1.000000,0.988889,0.060000,0.000000,0.033333
8348.000000,0.950000,0.950000,0.950000,0.217945,0.217945,0.217945
9379.000000,0.950000,0.950000,0.950000,0.217945,0.217945,0.217945
10410.000000,0.925000,0.937500,0.930000,0.238485,0.221853,0.230434
11441.000000,0.900000,0.925000,0.910000,0.254951,0.225000,0.240624
12472.000000,0.950000,0.950000,0.950000,0.217945,0.217945,0.217945
13503.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
14534.000000,0.914286,0.925000,0.918182,0.261081,0.238485,0.252099
15565.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
16596.000000,0.957143,0.962500,0.959091,0.186810,0.163459,0.178319
17627.000000,0.925000,0.937500,0.930000,0.238485,0.221853,0.230434
18658.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
19689.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
20720.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
21751.000000,0.950000,0.950000,0.950000,0.217945,0.217945,0.217945
22782.000000,0.975000,0.987500,0.980000,0.108972,0.054486,0.087178
23813.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
24844.000000,0.814286,0.850000,0.828182,0.340618,0.310242,0.326690
25875.000000,0.950000,0.950000,0.950000,0.217945,0.217945,0.217945
26906.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
27937.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
28968.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
30000.000000,0.615000,0.637500,0.624444,0.465054,0.470870,0.466450
