# Size, Precision, Recall, Fscore
10.000000,0.000000,0.000000,0.000000
30.000000,0.000000,0.000000,0.000000
50.000000,1.000000,0.166667,0.285714
70.000000,1.000000,0.166667,0.285714
90.000000,1.000000,0.166667,0.285714
111.000000,0.950000,0.158333,0.271429
131.000000,0.900000,0.158333,0.267857
151.000000,0.950000,0.158333,0.271429
171.000000,0.800000,0.141667,0.239286
191.000000,0.700000,0.133333,0.221429
212.000000,0.500000,0.083333,0.142857
232.000000,0.533333,0.108333,0.175794
252.000000,0.350000,0.066667,0.110714
272.000000,0.325000,0.066667,0.108929
292.000000,0.425000,0.083333,0.137500
313.000000,0.350000,0.058333,0.100000
333.000000,0.400000,0.091667,0.146429
353.000000,0.400000,0.091667,0.146429
373.000000,0.500000,0.091667,0.153571
393.000000,0.350000,0.075000,0.121429
414.000000,0.275000,0.058333,0.094643
434.000000,0.300000,0.058333,0.096429
454.000000,0.450000,0.075000,0.128571
474.000000,0.600000,0.100000,0.171429
494.000000,0.500000,0.083333,0.142857
515.000000,0.650000,0.108333,0.185714
535.000000,0.500000,0.083333,0.142857
555.000000,0.600000,0.100000,0.171429
575.000000,0.750000,0.125000,0.214286
595.000000,0.650000,0.108333,0.185714
616.000000,0.650000,0.108333,0.185714
636.000000,1.000000,0.166667,0.285714
656.000000,0.750000,0.125000,0.214286
676.000000,0.850000,0.141667,0.242857
696.000000,1.000000,0.166667,0.285714
717.000000,0.950000,0.158333,0.271429
737.000000,0.850000,0.141667,0.242857
757.000000,0.900000,0.150000,0.257143
777.000000,0.950000,0.158333,0.271429
797.000000,0.900000,0.150000,0.257143
818.000000,0.950000,0.158333,0.271429
838.000000,1.000000,0.166667,0.285714
858.000000,1.000000,0.166667,0.285714
878.000000,0.900000,0.150000,0.257143
898.000000,0.950000,0.158333,0.271429
919.000000,0.950000,0.158333,0.271429
939.000000,0.950000,0.158333,0.271429
959.000000,0.900000,0.150000,0.257143
979.000000,0.875000,0.150000,0.255357
1000.000000,1.000000,0.166667,0.285714
