# Size, Precision, Recall, Fscore
10.000000,0.194643,0.133333,0.154637
40.000000,0.200595,0.166667,0.179188
70.000000,0.238810,0.200000,0.213738
101.000000,0.292619,0.308333,0.293848
131.000000,0.214583,0.208333,0.209777
162.000000,0.259286,0.291667,0.268805
192.000000,0.286032,0.358333,0.314175
222.000000,0.220060,0.225000,0.219294
253.000000,0.264405,0.316667,0.283989
283.000000,0.278214,0.333333,0.298949
314.000000,0.246429,0.300000,0.262433
344.000000,0.287262,0.350000,0.308997
374.000000,0.312063,0.433333,0.358626
405.000000,0.308433,0.375000,0.334140
435.000000,0.264722,0.316667,0.283711
466.000000,0.277937,0.383333,0.316687
496.000000,0.347033,0.491667,0.401781
526.000000,0.327976,0.475000,0.384878
557.000000,0.332183,0.483333,0.389725
587.000000,0.310783,0.466667,0.369892
618.000000,0.227560,0.316667,0.262415
648.000000,0.281706,0.400000,0.326870
678.000000,0.323214,0.458333,0.374354
709.000000,0.300732,0.416667,0.343736
739.000000,0.343043,0.500000,0.403900
770.000000,0.292361,0.391667,0.330751
800.000000,0.323571,0.483333,0.383570
831.000000,0.314037,0.475000,0.374469
861.000000,0.347469,0.533333,0.418095
891.000000,0.320197,0.483333,0.381912
922.000000,0.340159,0.516667,0.407430
952.000000,0.349891,0.558333,0.426846
983.000000,0.333144,0.508333,0.397200
1013.000000,0.304829,0.450000,0.360502
1043.000000,0.304453,0.433333,0.355236
1074.000000,0.296975,0.458333,0.357184
1104.000000,0.319170,0.508333,0.389986
1135.000000,0.347498,0.533333,0.418045
1165.000000,0.273318,0.425000,0.330326
1195.000000,0.341513,0.508333,0.405540
1226.000000,0.331219,0.508333,0.398984
1256.000000,0.288719,0.425000,0.341623
1287.000000,0.306587,0.441667,0.359515
1317.000000,0.325444,0.508333,0.393892
1347.000000,0.356127,0.550000,0.429575
1378.000000,0.295355,0.425000,0.344596
1408.000000,0.373475,0.600000,0.457539
1439.000000,0.342646,0.533333,0.414375
1469.000000,0.323378,0.483333,0.384267
1500.000000,0.394859,0.641667,0.486617
