"X0";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"X11"
1.3797240551889622e-01;1.2117576484703059e-01;6.1057788442311534e-01;6.1257748450309935e-01;6.1157768446310734e-01;3.8072385522895419e-01;6.2157568486302739e-01;3.8632273545290940e-01;3.7882423515296937e-01;6.1067786442711458e-01;6.8106378724255145e-01;1.4987002599480104e-01
3.5142971405718854e-01;9.8080383923215358e-02;9.2961407718456301e-01;9.2661467706458700e-01;9.2591481703659262e-01;7.2785442911417711e-02;9.2381523695260948e-01;3.2893421315736852e-02;4.4491101779644070e-02;9.2631473705258949e-01;2.3995200959808036e-03;3.7002599480103976e-01
2.6524695060987802e-01;4.6690661867626471e-01;8.9162167566486694e-01;8.9072185562887418e-01;8.9332133573285344e-01;1.1157768446310737e-01;8.8812237552489504e-01;8.2283543291341729e-02;1.2597480503899219e-01;8.9182163567286543e-01;1.2587482503499300e-01;3.1413717256548690e-01
8.3993201359728054e-01;5.6298740251949608e-01;3.8132373525294938e-01;3.8032393521295738e-01;3.8382323535292939e-01;6.1917616476704662e-01;3.8202359528094382e-01;5.5558888222355529e-01;5.2929414117176565e-01;3.8192361527694457e-01;1.4017196560687861e-01;4.4411117776444708e-01
4.1491701659668062e-01;2.2115576884623075e-01;4.0011997600479904e-01;4.3481303739252147e-01;4.4081183763247350e-01;5.6028794241151769e-01;4.3951209758048387e-01;5.5798840231953606e-01;6.4107178564287137e-01;4.4151169766046788e-01;2.8524295140971806e-01;7.9044191161767641e-01
7.3345330933813235e-01;2.5894821035792839e-02;3.1693661267746448e-02;2.9594081183763245e-02;3.2193561287742450e-02;9.7060587882423510e-01;3.0193961207758448e-02;9.7260547890421911e-01;9.6490701859628070e-01;3.1893621275744848e-02;4.1541691661667662e-01;8.9302139572085582e-01
9.8770245950809832e-01;4.9690061987602480e-02;3.5092981403719255e-02;3.3893221355728850e-02;3.5292941411717654e-02;9.6340731853629269e-01;3.9092181563687260e-02;9.6190761847630468e-01;9.5470905818836227e-01;3.5292941411717654e-02;4.5190961807638469e-01;6.5486902619476106e-01
6.4287142571485698e-02;2.2155568886222754e-01;4.8990201959608078e-02;5.5788842231553684e-02;5.2789442111577684e-02;9.4931013797240549e-01;4.9790041991601676e-02;9.4871025794841024e-01;9.3921215756848631e-01;5.2889422115576880e-02;6.7386522695460904e-01;2.1335732853429312e-01
5.2389522095580884e-02;2.8694261147770445e-01;2.8994201159768047e-02;2.6494701059788042e-02;2.6694661067786441e-02;9.7210557888422311e-01;2.7594481103779243e-02;9.7750449910017989e-01;9.6860627874425109e-01;2.6794641071785641e-02;8.8522295540891816e-01;3.5482903419316136e-01
3.6232753449310134e-01;3.8712257548490303e-01;4.7530493901219756e-01;4.6410717856428713e-01;4.5670865826834633e-01;5.5148970205958803e-01;4.5720855828834234e-01;6.2397520495900816e-01;4.8450309938012398e-01;4.5610877824435109e-01;8.6452709458108379e-01;8.6692661467706456e-01
7.9424115176964605e-01;9.6480703859228148e-02;6.7066586682663465e-01;7.0455908818236346e-01;7.0005998800239955e-01;2.9954009198160364e-01;6.9556088782243553e-01;2.5784843031393723e-01;3.0083983203359327e-01;6.9926014797040592e-01;1.6856628674265145e-01;3.5852829434113176e-01
7.5284943011397723e-02;3.4593081383723256e-01;6.0497900419916018e-01;5.8478304339132170e-01;5.7728454309138166e-01;4.1631673665266944e-01;5.8838232353529296e-01;5.0479904019196153e-01;3.7112577484503095e-01;5.7528494301139765e-01;8.1643671265746842e-01;9.0901819636072778e-01
9.5790841831633666e-01;5.8268346330733856e-01;2.7524495100979801e-01;2.6314737052589482e-01;2.6564687062587483e-01;7.4235152969406115e-01;2.5864827034593080e-01;7.5254949010197958e-01;7.4345130973805240e-01;2.6654669066186759e-01;2.5454909018196359e-01;8.9442111577684458e-01
4.7990401919616073e-03;3.7782443511297736e-01;3.6332733453309335e-01;3.5242951409718054e-01;3.5212957408518297e-01;6.4307138572285538e-01;3.4943011397720453e-01;5.9738052389522089e-01;6.1047790441911620e-01;3.5152969406118773e-01;7.0985802839432108e-02;8.0743851229754049e-01
2.1655668866226754e-01;3.0693861227754447e-02;4.5820835832833434e-01;4.3651269746050786e-01;4.3831233753249349e-01;5.7208558288342326e-01;4.3731253749250149e-01;4.9990001999600076e-01;6.0287942411517692e-01;4.3721255748850230e-01;1.1027794441111777e-01;5.7978404319136168e-01
4.8840231953609275e-01;5.0589882023595281e-02;1.1917616476704658e-01;1.0847830433913216e-01;1.0567886422715457e-01;8.8942211557688455e-01;1.0947810437912417e-01;8.3943211357728453e-01;8.9602079584083183e-01;1.0487902419516096e-01;1.3827234553089382e-01;2.1205758848230352e-01
7.4955008998200356e-01;4.3251349730053990e-01;1.5606878624275144e-01;1.8316336732653468e-01;1.9266146770645870e-01;8.0543891221755648e-01;1.9446110777844430e-01;8.6472705458908217e-01;8.3883223355328929e-01;1.9286142771445711e-01;9.5460907818436314e-01;5.6748650269946010e-01
5.7388522295540888e-02;9.7730453909218151e-01;9.8890221955608870e-01;9.9250149970005996e-01;9.9250149970005996e-01;7.0985802839432111e-03;9.9300139972005597e-01;1.4897020595880823e-02;1.2197560487902420e-02;9.9240151969606072e-01;9.9110177964407120e-01;3.2363527294541089e-01
9.8080383923215358e-02;5.3329334133173367e-01;8.6032793441311739e-01;8.6202759448110378e-01;8.6502699460107979e-01;1.3537292541491702e-01;8.6642671465706855e-01;1.3367326534693061e-01;1.9086182763447310e-01;8.6572685462907417e-01;6.0677864427114570e-01;3.4553089382123575e-01
2.4215156968606277e-01;9.4231153769246145e-01;2.9264147170565885e-01;2.7284543091381724e-01;2.6924615076984604e-01;7.3175364927014597e-01;2.6944611077784442e-01;7.2895420915816833e-01;6.7826434713057382e-01;2.6864627074585085e-01;2.9644071185762844e-01;8.1123775244951002e-01
6.2647470505898817e-01;8.8572285542891416e-01;3.2053589282143569e-01;3.4313137372525493e-01;3.4653069386122776e-01;6.4257148570285938e-01;3.5872825434913014e-01;6.1797640471905613e-01;5.9878024395120977e-01;3.4563087382523494e-01;3.6742651469706056e-01;3.5062987402519497e-01
8.9672065586882621e-01;3.8892221555688861e-01;3.7702459508098379e-01;3.6762647470505899e-01;3.5762847430513894e-01;6.5226954609078180e-01;3.5252949410117973e-01;5.7958408318336330e-01;6.8246350729854022e-01;3.5402919416116774e-01;6.3667266546690660e-01;2.8794241151769644e-02
1.3497300539892020e-02;1.8746250749850030e-01;5.8068386322735455e-01;5.7528494301139765e-01;5.7518496300739852e-01;4.2931413717256545e-01;5.7038592281543687e-01;6.1197760447910421e-01;4.9690061987602480e-01;5.7398520295940814e-01;9.8800239952009594e-01;9.3641271745650867e-01
6.2047590481903614e-01;8.9742051589682059e-01;5.5598880223955205e-01;5.4959008198360326e-01;5.3749250149970007e-01;4.7830433913217357e-01;5.1639672065586883e-01;5.0259948010397915e-01;4.4291141771645670e-01;5.3819236152769445e-01;5.5808838232353530e-01;5.6858628274345124e-01
1.1207758448310337e-01;6.6226754649070185e-01;1.4777044591081784e-01;1.5046990601879623e-01;1.5026994601079782e-01;8.4623075384923008e-01;1.5176964607078583e-01;8.0493901219756048e-01;8.4593081383723256e-01;1.4847030593881222e-01;6.9186162767446505e-02;7.0915816836632672e-01
5.6688662267546486e-02;8.8802239552089579e-01;6.4507098580283939e-01;6.6646670665866825e-01;6.8596280743851223e-01;3.1183763247350527e-01;6.8616276744651072e-01;3.2903419316136773e-01;3.5612877424515094e-01;6.8736252749450111e-01;5.0879824035192955e-01;7.4495100979804041e-01
7.2465506898620269e-01;8.7992401519696062e-01;3.5102979404119172e-01;3.3913217356528691e-01;3.4353129374125174e-01;6.5726854629074183e-01;3.4343131373725255e-01;6.1157768446310734e-01;6.8776244751049787e-01;3.4273145370925812e-01;2.7034593081383723e-01;5.0789842031593679e-01
2.9474105178964205e-01;9.1521695660867819e-01;2.0735852829434112e-01;1.8956208758248350e-01;1.9496100779844031e-01;8.0413917216556685e-01;1.9506098780243949e-01;7.3605278944211150e-01;8.0643871225754848e-01;1.9356128774245152e-01;7.3985202959408122e-02;2.7184563087382524e-01
