"A","B","C","D","E","F","G","H","I","J","K","L"
6.6565094499057742e-01,4.5358378038089714e-01,0.0000000000000000e+00,4.0890311132684581e-01,2.2734232414384481e-01,1.8908419928442768e-01,1.6939459564451326e-02,0.0000000000000000e+00,3.0384315892324043e-02,3.8086451481285194e-01,9.2407256229742929e-01,4.6135134737429362e-01
4.1808783345237810e-01,4.6590867478831771e-01,0.0000000000000000e+00,1.0239801004801133e-02,1.9710864579531993e-02,2.0403369985074857e-01,4.3005493650171578e-01,0.0000000000000000e+00,7.3327852137196503e-02,2.2988829282771367e-01,6.3927716319440409e-01,1.3881252291040691e-01
9.1265276037375309e-01,3.7477617378609146e-01,0.0000000000000000e+00,2.3407143008085946e-01,1.5504306547293872e-01,3.3029177756504757e-01,2.0042193940476102e-01,0.0000000000000000e+00,8.0211939111457542e-01,1.1207454106003158e-01,2.7298357915952409e-01,6.9965697389892068e-01
3.3964637210606941e-01,1.3668055195989726e-01,0.0000000000000000e+00,7.7352432263959339e-02,8.6289072388371496e-02,4.4441093829390604e-01,3.2931893145974539e-01,0.0000000000000000e+00,3.6643670175251608e-01,4.6131986912060702e-01,1.2830105464116115e-01,9.0798173983552122e-01
6.1946955220204547e-03,2.1769325488354913e-01,0.0000000000000000e+00,4.4555975555595900e-02,9.9540223501026856e-02,3.2042398132684202e-01,2.2737036213418990e-01,0.0000000000000000e+00,2.1183480821764444e-01,1.0051376163361064e-01,7.2153671283968279e-01,2.7805265572100835e-01
6.2877888212056865e-02,3.4487707799519091e-01,0.0000000000000000e+00,7.9671726932964496e-02,3.7765796939696211e-01,1.6856984422045634e-01,4.0005179886381304e-01,0.0000000000000000e+00,4.3323378870712315e-01,5.3050335011670537e-02,7.2794323698459173e-01,6.2785833975868055e-01
2.5523994286912766e-02,3.0276675230801731e-01,0.0000000000000000e+00,3.1906155188984259e-01,5.6401412117024458e-02,2.7180043464721380e-02,3.1514774625730374e-01,0.0000000000000000e+00,2.7486663867416405e-01,2.6827345758167614e-01,8.1443041309408026e-01,8.2394886887557206e-01
1.0347716032363463e-01,5.6342746603747496e-03,0.0000000000000000e+00,3.8269659910873122e-01,1.6233375460027760e-01,1.4662765587407314e-01,1.4028860861605696e-01,0.0000000000000000e+00,8.0044403287473243e-01,6.3614015889996198e-02,7.5415514285234564e-01,4.6343390233287574e-01
5.6015436457350209e-01,3.5004165026999440e-01,0.0000000000000000e+00,2.9011034444792194e-01,4.0922772376366423e-01,1.3166146543459842e-01,2.4778591702462041e-01,0.0000000000000000e+00,7.3007190941373423e-01,3.0209750645851063e-01,4.3300273453564730e-01,7.3278109966178251e-01
5.0429137230437049e-01,1.0506638396503735e-02,0.0000000000000000e+00,1.4201916435028561e-01,3.9412727764048394e-01,2.5755938633852615e-01,1.3271343511841996e-01,0.0000000000000000e+00,3.0292133316164316e-02,3.9520920412000715e-01,3.1248817147811536e-01,9.7389636448397243e-01
8.8128528950550011e-01,3.9123544513835057e-01,0.0000000000000000e+00,7.4146720898249072e-02,1.4746804436022251e-01,3.8917681776558394e-01,1.4068593440969232e-01,0.0000000000000000e+00,8.7624645222652431e-01,2.5117307382153958e-01,8.2423043621055569e-01,3.9399479968026085e-01
4.6919292269128365e-01,1.7799493511009273e-01,0.0000000000000000e+00,2.0732766332394525e-01,3.2687908077502431e-01,3.0414526794078001e-01,3.5132664631287891e-01,0.0000000000000000e+00,6.0392015696842671e-01,3.7922288998116893e-01,5.7973656034611198e-01,8.6064387491330030e-01
4.6372831898981115e-02,3.3475865445944053e-01,0.0000000000000000e+00,5.4252025262793775e-02,4.4852186809353189e-01,3.5198779515408851e-01,2.0842812846755461e-03,0.0000000000000000e+00,1.6264610881127961e-02,3.8936800317070946e-01,4.2767071011261426e-01,8.2753522707841332e-01
1.2322799744200452e-01,3.1046924041299612e-01,0.0000000000000000e+00,1.3381176572636658e-01,6.4828633593976712e-02,3.8736186750665480e-01,1.0896939091792752e-01,0.0000000000000000e+00,2.3494679681753450e-02,4.4674234925572187e-01,1.2402477823600622e-01,8.8798846406212650e-01
