# Size, Precision, Recall, Fscore
10.000000,0.000000,0.000000,0.000000
535.000000,0.000000,0.000000,0.000000
1061.000000,0.000000,0.000000,0.000000
1587.000000,0.033333,0.016667,0.022222
2113.000000,0.000000,0.000000,0.000000
2638.000000,0.000000,0.000000,0.000000
3164.000000,0.000000,0.000000,0.000000
3690.000000,0.033333,0.016667,0.022222
4216.000000,0.100000,0.050000,0.066667
4742.000000,0.133333,0.066667,0.088889
5267.000000,0.166667,0.083333,0.111111
5793.000000,0.233333,0.133333,0.168889
6319.000000,0.316667,0.166667,0.217778
6845.000000,0.416667,0.250000,0.311111
7371.000000,0.416667,0.266667,0.324444
7896.000000,0.520000,0.366667,0.429091
8422.000000,0.493333,0.333333,0.396768
8948.000000,0.433333,0.283333,0.342222
9474.000000,0.510000,0.350000,0.414545
10000.000000,0.530000,0.383333,0.443636
