# Size, Precision, Recall, Fscore
10.000000,0.000000,0.000000,0.000000
1062.000000,0.012500,0.008333,0.010000
2114.000000,0.000000,0.000000,0.000000
3166.000000,0.000000,0.000000,0.000000
4218.000000,0.000000,0.000000,0.000000
5270.000000,0.000000,0.000000,0.000000
6322.000000,0.012500,0.008333,0.010000
7374.000000,0.000000,0.000000,0.000000
8426.000000,0.000000,0.000000,0.000000
9478.000000,0.012500,0.008333,0.010000
10531.000000,0.075000,0.050000,0.060000
11583.000000,0.050000,0.033333,0.040000
12635.000000,0.050000,0.033333,0.040000
13687.000000,0.075000,0.050000,0.060000
14739.000000,0.075000,0.050000,0.060000
15791.000000,0.050000,0.033333,0.040000
16843.000000,0.062500,0.041667,0.050000
17895.000000,0.112500,0.075000,0.090000
18947.000000,0.087500,0.058333,0.070000
20000.000000,0.037500,0.025000,0.030000
