# Size, Precision, Recall, Fscore
10.000000,0.283333,0.083333,0.125794
182.000000,0.333333,0.150000,0.203889
354.000000,0.416667,0.233333,0.294444
526.000000,0.360000,0.233333,0.281212
698.000000,0.436667,0.300000,0.353535
870.000000,0.463333,0.333333,0.385859
1042.000000,0.466667,0.316667,0.373333
1214.000000,0.540000,0.483333,0.507071
1386.000000,0.310000,0.200000,0.241212
1558.000000,0.506667,0.366667,0.422626
1730.000000,0.466667,0.366667,0.406061
1902.000000,0.460000,0.316667,0.370101
2074.000000,0.490000,0.366667,0.413737
2246.000000,0.426667,0.366667,0.387879
2418.000000,0.520000,0.400000,0.446869
2591.000000,0.593333,0.533333,0.556768
2763.000000,0.563333,0.466667,0.505859
2935.000000,0.446667,0.316667,0.368081
3107.000000,0.480000,0.383333,0.421414
3279.000000,0.526667,0.400000,0.451717
3451.000000,0.536667,0.416667,0.466263
3623.000000,0.470000,0.383333,0.415758
3795.000000,0.526667,0.416667,0.458990
3967.000000,0.536667,0.450000,0.482424
4139.000000,0.516667,0.416667,0.453333
4311.000000,0.513333,0.416667,0.452525
4483.000000,0.453333,0.350000,0.389091
4655.000000,0.590000,0.500000,0.538182
4827.000000,0.536667,0.450000,0.488485
5000.000000,0.580000,0.500000,0.532525
